model,mae,rmse,n,negative_predictions,verified
persistence,0.5479458968406178,0.7817754844230004,9907,0,True
xgboost,4.378758664919074,4.789704498353539,9907,0,True
attention_lstm,4.873976859072209,5.178822731083383,9907,0,True
