dataset,horizon,joint_fit,joint_calibration,joint_test,frequency,available_fit,available_calibration,available_test,seasonal_available_test
pleia_energy,1,14845,4943,9902,0 days 00:10:00,14858,4953,9907,9907
pleia_energy,3,14845,4943,9902,0 days 00:10:00,14855,4952,9907,9907
pleia_energy,6,14845,4943,9902,0 days 00:10:00,14850,4951,9907,9907
pleia,1,14845,4943,9902,0 days 00:10:00,14858,4953,9907,9907
pleia,3,14845,4943,9902,0 days 00:10:00,14855,4952,9907,9907
pleia,6,14845,4943,9902,0 days 00:10:00,14850,4951,9907,9907
rico,5,9577,3297,6437,0 days 00:01:00,12932,4452,8692,0
rico,15,9577,3297,6437,0 days 00:01:00,12322,4242,8282,0
rico,30,9577,3297,6437,0 days 00:01:00,11407,3927,7667,0
rico,60,9577,3297,6437,0 days 00:01:00,9577,3297,6437,0
