dataset,horizon,physical_minutes,nominal_level,n_seed_rows,lower_lstm_winkler_seeds,winkler_difference_mean,winkler_difference_sample_std,winkler_difference_min,winkler_difference_max,lstm_coverage_mean,xgboost_coverage_mean,mpiw_difference_mean,mae_difference_mean,mae_difference_sample_std,cpu_ratio_mean,cpu_ratio_min,cpu_ratio_max,interpretation
bdg2,1,60,0.9,5,0,6.439778641854298,2.3730575474914564,4.407878595647276,10.369741771492329,0.9003752886836027,0.903054272517321,4.003513085937388,1.704659792465965,0.3471208651925761,86.681375829411,66.81324278438031,143.8626817447496,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
bdg2,1,60,0.95,5,0,7.896832292228891,4.053271900045266,4.38547119383432,14.33247384149496,0.9492090069284064,0.9488394919168591,4.992014306640703,1.704659792465965,0.3471208651925761,86.681375829411,66.81324278438031,143.8626817447496,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
bdg2,3,180,0.9,5,0,49.96387138988323,9.018529501380137,36.367708295738396,60.70327443064616,0.9057390300230947,0.9065011547344112,19.622305615234307,5.243069104365292,1.2521471317630795,56.50564348881771,40.09225092250922,76.2373188405797,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
bdg2,3,180,0.95,5,0,76.52822876302884,11.807530818246207,60.47298921222648,91.62272122778757,0.9502078521939954,0.949284064665127,30.127449218750094,5.243069104365292,1.2521471317630795,56.50564348881771,40.09225092250922,76.2373188405797,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
bdg2,6,360,0.9,5,0,45.31334448256882,4.224357932683782,39.82824735504403,49.59606081389319,0.9065877598152425,0.9074884526558892,23.995074316406317,6.8341387443501365,0.9853787476162386,34.209290578575796,27.913513513513514,43.098958333333336,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
bdg2,6,360,0.95,5,0,64.96538659810403,4.970908986044644,61.09040961649754,73.29942841709487,0.9521304849884527,0.9494226327944573,34.341233349609446,6.8341387443501365,0.9853787476162386,34.209290578575796,27.913513513513514,43.098958333333336,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia,1,10,0.9,5,0,7.434979077854464,4.029794004710058,3.2379821081171762,11.929294956369397,0.21150701524174825,0.24994448369839506,1.459185791015625,0.9821418400413396,0.2567955050341176,55.636194981556784,52.788,57.30869565217391,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia,1,10,0.95,5,0,8.36710063287057,5.973969666971397,1.4569295099792967,15.825873423821157,0.2906631674573534,0.32899969718380945,1.786550903320311,0.9821418400413396,0.2567955050341176,55.636194981556784,52.788,57.30869565217391,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia,3,30,0.9,5,1,0.8770942347911529,1.557015256957553,-1.2401781307985331,2.5020970969191794,0.2095286161300091,0.2308872514383769,0.5922349548339836,0.2964093967806239,0.13385276352387143,45.421879230165196,42.028688524590166,49.6875,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia,3,30,0.95,5,3,-0.41131331578076524,1.7738810760201498,-1.8587438320577405,2.2880491708570574,0.27570404764308065,0.30511759362067226,0.6773152160644547,0.2964093967806239,0.13385276352387143,45.421879230165196,42.028688524590166,49.6875,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia,6,60,0.9,5,3,-1.9831049913949372,3.2521047472861926,-6.459489868324233,1.8623153754292403,0.20405773695366913,0.2336125971535278,0.5624464416503878,0.16867035035325612,0.23881222142937752,27.25400534221287,25.690376569037657,28.951965065502183,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia,6,60,0.95,5,4,-5.636385786804093,6.275303791606799,-14.321852516273701,2.3003092531600657,0.2718280004037549,0.30675280104976277,0.5987457275390625,0.16867035035325612,0.23881222142937752,27.25400534221287,25.690376569037657,28.951965065502183,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia_energy,1,10,0.9,5,0,0.2157269822560876,0.10745998008135177,0.04085220785630472,0.3249250669718584,0.5248208337539113,0.6738063995154941,-0.10523650646209717,-0.00010180409546094449,0.01423761489075531,25.879351774602345,24.60593220338983,27.325581395348838,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia_energy,1,10,0.95,5,0,1.0192360537124585,0.2111139616019356,0.6597660107437888,1.1657798122033656,0.604824871303119,0.7915009589179369,-0.2498252272605896,-0.00010180409546094449,0.01423761489075531,25.879351774602345,24.60593220338983,27.325581395348838,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia_energy,3,30,0.9,5,0,0.19070667443078593,0.1000521950823795,0.03769516138083673,0.2993565841575221,0.5600080750984152,0.6816594327243364,-0.014064306020736694,0.026855426918979595,0.0118536650935986,19.517097348934133,18.694690265486727,20.637554585152838,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia_energy,3,30,0.95,5,0,0.4114915244611441,0.22152843249715487,0.0614291736191479,0.6693338550754317,0.6498233572221661,0.7393560109013829,-0.037805786728858946,0.026855426918979595,0.0118536650935986,19.517097348934133,18.694690265486727,20.637554585152838,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia_energy,6,60,0.9,5,3,0.017560129084517893,0.11452909459560923,-0.12654945797533124,0.17240598942944185,0.5768850307863127,0.630503684263652,0.05333689451217651,0.025668628103079745,0.0038664697511826313,17.089801749864833,15.919831223628693,19.897872340425533,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
pleia_energy,6,60,0.95,5,2,0.03131732866912564,0.19739843588915204,-0.23149754229883746,0.3085492975363828,0.6627435146865852,0.7021298072070252,0.03632505536079407,0.025668628103079745,0.0038664697511826313,17.089801749864833,15.919831223628693,19.897872340425533,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
rico,5,5,0.9,5,0,37.312160090074734,4.779364799497094,30.459842612015933,43.01166574765171,0.10499309710078233,0.5125172572480443,1.1939268493652377,2.411150206562785,0.2917071980286919,21.849571571370277,13.716049382716049,27.71225071225071,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
rico,5,5,0.95,5,0,68.60332538294007,6.552075034899764,58.95108240639291,74.89981521627499,0.1339852738150023,0.6790612057063967,1.3587022399902338,2.411150206562785,0.2917071980286919,21.849571571370277,13.716049382716049,27.71225071225071,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
rico,15,15,0.9,5,0,40.08866552511814,5.566767807464259,31.768587521532545,47.12543899049738,0.09222410045882637,0.6297754165660469,0.7337530517578102,2.443873902592386,0.31548923825244035,20.34793446836498,13.093167701863354,30.063432835820894,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
rico,15,15,0.95,5,0,73.87123165367363,7.232620140379474,63.82633168529805,82.2209007464006,0.1281091523786525,0.8017145617000725,0.6169850158691375,2.443873902592386,0.31548923825244035,20.34793446836498,13.093167701863354,30.063432835820894,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
rico,30,30,0.9,5,0,39.77541235421618,5.975761713844817,32.40603530812146,47.05126786347052,0.08832659449589148,0.6504238946132777,0.363729553222656,2.3589069179078668,0.3915714701672669,20.28101174343738,12.781569965870307,28.731448763250885,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
rico,30,30,0.95,5,0,76.77339050897982,9.73906052663295,65.1351680190898,84.49784874001215,0.10893439415677579,0.833494195904526,-0.35387817382812586,2.3589069179078668,0.3915714701672669,20.28101174343738,12.781569965870307,28.731448763250885,"paired LSTM minus XGBoost; CPU is LSTM/XGBoost; training seeds on identical support, not population CI"
