dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,conformal_method,nominal_coverage,mode,scenario,kind,severity,severity_label,alert_rule,seed,n_test,mae_vs_clean_truth,rmse_vs_clean_truth,empirical_coverage_vs_clean_truth,coverage_deviation_vs_clean_truth,mae,rmse,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,alert_rate,n_alert_clusters,false_alert_events_per_day,n_violation_steps,n_rows_rebuilt,n_contaminated
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,legacy_fixed_intervals,clean,none,0.0,none,2-of-3,42,10108.0,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.409892398206415,0.2345042329005323,1.5864663783384365,10108,0.009497427779976256,41.0,0.5840918084685398,272.0,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,closed_loop,clean,none,0.0,none,2-of-3,42,10108.0,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.409892398206415,0.2345042329005323,1.5864663783384365,10108,0.009497427779976256,41.0,0.5840918084685398,272.0,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,legacy_fixed_intervals,random_missing_5pct,random_missing,0.05,5%,2-of-3,42,10108.0,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.10475386846737404,2.7389731164491167,0.9737831420656905,0.023783142065690543,0.409892398206415,0.2345042329005323,2.0679987225167173,10108,0.009695290858725761,44.0,0.6268302334784329,265.0,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,closed_loop,random_missing_5pct,random_missing,0.05,5%,2-of-3,42,10108.0,0.09359017836075796,2.444168151994757,0.971606648199446,0.02160664819944602,0.10490464357323316,2.732850899385841,0.9728927582113178,0.022892758211317865,0.40734237316391725,0.23268541285148978,2.057163956582948,10108,0.009794222398100514,47.0,0.6695686584883261,274.0,10108.0,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,legacy_fixed_intervals,random_missing_10pct,random_missing,0.1,10%,2-of-3,42,10108.0,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.10414919690073716,2.738927016274816,0.9742777997625643,0.02427779976256439,0.409892398206415,0.2345042329005323,2.065531318589936,10108,0.009893153937475268,46.0,0.6553225168183617,260.0,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,closed_loop,random_missing_10pct,random_missing,0.1,10%,2-of-3,42,10108.0,0.09386734616013719,2.4441847216040586,0.9721013058963197,0.022101305896319756,0.1043739104595936,2.7328087003648607,0.9739810051444401,0.023981005144440126,0.40452125210760886,0.23131475868651108,2.0585921847749433,10108,0.009101701622477245,49.0,0.6980609418282548,263.0,10108.0,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,legacy_fixed_intervals,random_missing_20pct,random_missing,0.2,20%,2-of-3,42,10108.0,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.10260704655233442,2.7405095226241976,0.9757281553398058,0.02572815533980588,0.409892398206415,0.2345042329005323,2.035386926571849,10094,0.009893153937475268,45.0,0.6410763751483973,245.0,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,closed_loop,random_missing_20pct,random_missing,0.2,20%,2-of-3,42,10029.0,0.09524434735715068,2.4538836291821315,0.9696879050752817,0.01968790507528173,0.10422572944021422,2.743373606047434,0.9737760494565759,0.023776049456575965,0.39827424852330345,0.22842234224518704,2.0476215533114765,10029,0.009871373018247084,53.0,0.7609931199521388,263.0,10029.0,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,legacy_fixed_intervals,block_missing_5pct,block_missing,0.05,5%,2-of-3,42,10108.0,0.0933047902557901,2.4509604725405993,0.9730906212900673,0.023090621290067337,0.09427438988983906,2.4961721197843083,0.9732142857142857,0.023214285714285743,0.409892398206415,0.2345042329005323,1.626464779537735,9744,0.009200633161851999,40.0,0.5698456667985754,261.0,,
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,cqr,0.95,closed_loop,block_missing_5pct,block_missing,0.05,5%,2-of-3,42,8596.0,0.09870711685728928,2.657136487052891,0.9719637040483946,0.02196370404839465,0.09836078090032466,2.657110675883041,0.9721963704048394,0.02219637040483946,0.41318415173552936,0.23178851275246262,1.7717390602877436,8596,0.010120986505351327,38.0,0.6365751512331317,239.0,8596.0,
