dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model_a,model_b,n,loss,horizon,mean_loss_a,mean_loss_b,dm_statistic,p_value,mean_loss_differential,better_model,p_value_holm,significant_holm_5pct
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,xgboost,persistence,10108,absolute,1,0.09774311251575692,0.14171556564107637,-1.8182547230759991,0.06905479625361692,-0.043972453125319465,a,0.20716438876085075,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,attention_lstm,persistence,10108,absolute,1,0.10198547555923132,0.14171556564107637,-1.6348931492512395,0.10210259050083943,-0.03973009008184506,a,0.20716438876085075,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,xgboost,attention_lstm,10108,absolute,1,0.09774311251575692,0.10198547555923132,-7.261137756899927,4.12133773842258e-13,-0.004242363043474405,a,1.648535095369032e-12,True
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,1,10.0,seasonal_naive,persistence,10108,absolute,1,0.198186152057776,0.14171556564107637,1.6446200720775652,0.10007928393954582,0.05647058641669964,b,0.20716438876085075,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,xgboost,persistence,10106,absolute,3,0.10418214682875211,0.13034954482485653,-1.0813513078764434,0.27956667765672993,-0.026167397996104402,a,0.5591333553134599,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,attention_lstm,persistence,10106,absolute,3,0.10559620229756268,0.13034954482485653,-1.025533815271921,0.3051359266635138,-0.024753342527293838,a,0.5591333553134599,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,xgboost,attention_lstm,10106,absolute,3,0.10418214682875211,0.10559620229756268,-1.5697874696141403,0.11649587371197266,-0.0014140554688105648,a,0.34948762113591797,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,3,30.0,seasonal_naive,persistence,10106,absolute,3,0.19822073520680783,0.13034954482485653,1.9756763890882005,0.048218603586327,0.06787119038195132,b,0.192874414345308,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,xgboost,persistence,10103,absolute,6,0.11174286867880083,0.14165656240720578,-1.232985193188099,0.21760997941230942,-0.029913693728404956,a,0.43521995882461884,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,attention_lstm,persistence,10103,absolute,6,0.11498698518144769,0.14165656240720578,-1.1086284160690945,0.2676169069487834,-0.026669577225758086,a,0.43521995882461884,False
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,xgboost,attention_lstm,10103,absolute,6,0.11174286867880083,0.11498698518144769,-2.682552897799029,0.007318149368969429,-0.0032441165026468677,a,0.029272597475877717,True
pleia_energy,blockB-dif_cons,energy,kWh per interval,0 days 00:10:00,6,60.0,seasonal_naive,persistence,10103,absolute,6,0.19827650202910027,0.14165656240720578,1.6446190927142461,0.10007950142874424,0.05661993962189449,b,0.3002385042862327,False
