strategy,update_every,window,replay_coverage,replay_coverage_deviation,replay_mean_width
rolling,144,1000.0,0.9499406410763751,5.935892362485262e-05,0.9232114373522152
rolling,24,1000.0,0.9503363672338742,0.00033636723387420187,0.9212987539282518
rolling,48,1000.0,0.9507320933913732,0.0007320933913732564,0.9222113206167918
rolling,144,500.0,0.944400474871389,0.005599525128610949,0.9229402884186162
periodic,24,,0.9568658488326078,0.006865848832607879,0.9626722963816722
periodic,48,,0.9568658488326078,0.006865848832607879,0.9628340839945262
periodic,144,,0.9568658488326078,0.006865848832607879,0.9641472697288732
rolling,24,500.0,0.9390581717451524,0.010941828254847574,0.8776632310272295
rolling,48,500.0,0.9370795409576573,0.012920459042342625,0.8786358912049683
rolling,144,250.0,0.9305500593589237,0.019449940641076302,0.8681980842592849
rolling,24,250.0,0.927582113177681,0.022417886822318933,0.82589243680719
rolling,48,250.0,0.9261970716264345,0.023802928373565457,0.8256395511784869
