model,mae,rmse,n,negative_predictions,verified
persistence,0.13126135560714647,0.257541502923049,9907,0,True
xgboost,0.12048123149249969,0.22580041940214277,9907,0,True
attention_lstm,0.14363490562933756,0.24558303206076962,9907,0,True
