model,mae,rmse,n,negative_predictions,verified
persistence,73.28396772228638,119.92957137497905,34640,0,True
xgboost,34.03905614019833,66.857136876073,34640,165,True
attention_lstm,41.49383100017663,77.3137386570392,34640,0,True
