control_id,rule_id,channel,eligible_rows,asset_days,background_episodes,alert_rows,time_in_alert_days,background_episodes_per_asset_day,fraction_time_in_alert
cqr_rolling,180min_3of18,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_rolling,180min_3of18,combined,9907,68.79861111111111,65,1840,12.777777777777777,0.9447865145856464,0.1857272635510245
cqr_rolling,180min_3of18,numerical_only,9907,68.79861111111111,65,1840,12.777777777777777,0.9447865145856464,0.1857272635510245
cqr_rolling,30min_3of3,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_rolling,30min_3of3,combined,9907,68.79861111111111,88,584,4.055555555555555,1.2790955889774906,0.058948218431412125
cqr_rolling,30min_3of3,numerical_only,9907,68.79861111111111,88,584,4.055555555555555,1.2790955889774906,0.058948218431412125
cqr_rolling,360min_4of36,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_rolling,360min_4of36,combined,9907,68.79861111111111,53,2615,18.15972222222222,0.7703643888159887,0.2639547794488745
cqr_rolling,360min_4of36,numerical_only,9907,68.79861111111111,53,2615,18.15972222222222,0.7703643888159887,0.2639547794488745
cqr_rolling,60min_4of6,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_rolling,60min_4of6,combined,9907,68.79861111111111,60,752,5.222222222222222,0.872110628848289,0.0759059251034622
cqr_rolling,60min_4of6,numerical_only,9907,68.79861111111111,60,752,5.222222222222222,0.872110628848289,0.0759059251034622
cqr_rolling,single_sample,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_rolling,single_sample,combined,9907,68.79861111111111,212,910,6.319444444444444,3.0814575552639547,0.0918542444736045
cqr_rolling,single_sample,numerical_only,9907,68.79861111111111,212,910,6.319444444444444,3.0814575552639547,0.0918542444736045
cqr_static,180min_3of18,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_static,180min_3of18,combined,9907,68.79861111111111,36,7504,52.11111111111111,0.5232663773089734,0.7574442313515695
cqr_static,180min_3of18,numerical_only,9907,68.79861111111111,36,7504,52.11111111111111,0.5232663773089734,0.7574442313515695
cqr_static,30min_3of3,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_static,30min_3of3,combined,9907,68.79861111111111,103,6382,44.31944444444444,1.497123246189563,0.6441909760775208
cqr_static,30min_3of3,numerical_only,9907,68.79861111111111,103,6382,44.31944444444444,1.497123246189563,0.6441909760775208
cqr_static,360min_4of36,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_static,360min_4of36,combined,9907,68.79861111111111,17,7901,54.86805555555555,0.24709801150701524,0.7975169072373068
cqr_static,360min_4of36,numerical_only,9907,68.79861111111111,17,7901,54.86805555555555,0.24709801150701524,0.7975169072373068
cqr_static,60min_4of6,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_static,60min_4of6,combined,9907,68.79861111111111,77,6579,45.6875,1.1192086403553043,0.6640759059251035
cqr_static,60min_4of6,numerical_only,9907,68.79861111111111,77,6579,45.6875,1.1192086403553043,0.6640759059251035
cqr_static,single_sample,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
cqr_static,single_sample,combined,9907,68.79861111111111,183,6691,46.46527777777778,2.6599374179872814,0.6753810437064701
cqr_static,single_sample,numerical_only,9907,68.79861111111111,183,6691,46.46527777777778,2.6599374179872814,0.6753810437064701
persistence_static,180min_3of18,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
persistence_static,180min_3of18,combined,9907,68.79861111111111,56,620,4.305555555555555,0.8139699202584031,0.06258201271828
persistence_static,180min_3of18,numerical_only,9907,68.79861111111111,56,620,4.305555555555555,0.8139699202584031,0.06258201271828
persistence_static,30min_3of3,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
persistence_static,30min_3of3,combined,9907,68.79861111111111,8,8,0.05555555555555555,0.11628141717977188,0.0008075098415261935
persistence_static,30min_3of3,numerical_only,9907,68.79861111111111,8,8,0.05555555555555555,0.11628141717977188,0.0008075098415261935
persistence_static,360min_4of36,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
persistence_static,360min_4of36,combined,9907,68.79861111111111,48,990,6.875,0.6976885030786313,0.09992934288886646
persistence_static,360min_4of36,numerical_only,9907,68.79861111111111,48,990,6.875,0.6976885030786313,0.09992934288886646
persistence_static,60min_4of6,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
persistence_static,60min_4of6,combined,9907,68.79861111111111,7,14,0.09722222222222221,0.10174624003230039,0.0014131422226708386
persistence_static,60min_4of6,numerical_only,9907,68.79861111111111,7,14,0.09722222222222221,0.10174624003230039,0.0014131422226708386
persistence_static,single_sample,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
persistence_static,single_sample,combined,9907,68.79861111111111,292,345,2.395833333333333,4.244271727061673,0.03482386191581709
persistence_static,single_sample,numerical_only,9907,68.79861111111111,292,345,2.395833333333333,4.244271727061673,0.03482386191581709
quantile_static,180min_3of18,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
quantile_static,180min_3of18,combined,9907,68.79861111111111,45,8720,60.55555555555555,0.6540829716362168,0.8801857272635509
quantile_static,180min_3of18,numerical_only,9907,68.79861111111111,45,8720,60.55555555555555,0.6540829716362168,0.8801857272635509
quantile_static,30min_3of3,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
quantile_static,30min_3of3,combined,9907,68.79861111111111,106,7255,50.38194444444444,1.5407287776319774,0.7323104875340668
quantile_static,30min_3of3,numerical_only,9907,68.79861111111111,106,7255,50.38194444444444,1.5407287776319774,0.7323104875340668
quantile_static,360min_4of36,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
quantile_static,360min_4of36,combined,9907,68.79861111111111,26,9190,63.81944444444444,0.37791460583425857,0.9276269304532149
quantile_static,360min_4of36,numerical_only,9907,68.79861111111111,26,9190,63.81944444444444,0.37791460583425857,0.9276269304532149
quantile_static,60min_4of6,availability_only,9907,68.79861111111111,0,0,0.0,0.0,0.0
