control_id,stages,rows,raw_inversions,emitted_inversions,point_below_lower,point_above_upper,minimum_emitted_width,width_units,interpretation
cqr_rolling,2152,319651,0,0,0,0,0.7013553092114329,degC,ordered_endpoints_only_median_tail_crossing
cqr_static,2152,319651,0,0,611,0,1.0185353219753992,degC,ordered_endpoints_only_median_tail_crossing
persistence_static,2152,319651,0,0,0,0,1.5999999999999908,degC,ordered_endpoints_only_median_tail_crossing
quantile_static,2152,319651,0,0,631,1,0.344941356771411,degC,ordered_endpoints_only_median_tail_crossing
