dataset,target,outer_fold,horizon,model_seed,control_id,rule_id,channel,conditional_context_detection,macro_status,inference_status,restricted_ttd_equal_stratum_minutes,effective_slots,detected,misses,detected_delay_median_minutes,detected_delay_q90_minutes,supported_strata,original_eligible_rows,original_asset_days,background_episodes,background_episodes_per_asset_day,alert_rows,time_in_alert_days,fraction_time_in_alert
pleia,temperature,2,1,42,cqr_rolling,180min_3of18,availability_only,0.1299780213837644,supported_point_estimate,single_model_seed_descriptive,99.3854099069868,2727,357,2370,30.0,40.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
pleia,temperature,2,1,42,cqr_rolling,180min_3of18,combined,0.3750989810265443,supported_point_estimate,single_model_seed_descriptive,81.18174001430553,2727,1050,1677,30.0,50.0,21,9907,68.79861111111111,65,0.9447865145856464,1840,12.777777777777777,0.1857272635510245
pleia,temperature,2,1,42,cqr_rolling,180min_3of18,numerical_only,0.2693899144667601,supported_point_estimate,single_model_seed_descriptive,89.80139279511285,2727,765,1962,30.0,56.00000000000023,21,9907,68.79861111111111,65,0.9447865145856464,1840,12.777777777777777,0.1857272635510245
pleia,temperature,2,1,42,cqr_rolling,30min_3of3,availability_only,0.1098438320818269,supported_point_estimate,single_model_seed_descriptive,100.8119051481722,2727,307,2420,30.0,30.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
pleia,temperature,2,1,42,cqr_rolling,30min_3of3,combined,0.4173952209858636,supported_point_estimate,single_model_seed_descriptive,77.41213254039448,2727,1178,1549,30.0,50.0,21,9907,68.79861111111111,88,1.2790955889774906,584,4.055555555555555,0.058948218431412125
pleia,temperature,2,1,42,cqr_rolling,30min_3of3,numerical_only,0.3202482120362747,supported_point_estimate,single_model_seed_descriptive,86.26735249583285,2727,906,1821,30.0,60.0,21,9907,68.79861111111111,88,1.2790955889774906,584,4.055555555555555,0.058948218431412125
pleia,temperature,2,1,42,cqr_rolling,360min_4of36,availability_only,0.0625634927072711,supported_point_estimate,single_model_seed_descriptive,105.22304529371775,2727,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
pleia,temperature,2,1,42,cqr_rolling,360min_4of36,combined,0.197378448459202,supported_point_estimate,single_model_seed_descriptive,96.07182492156498,2727,555,2172,40.0,50.0,21,9907,68.79861111111111,53,0.7703643888159887,2615,18.15972222222222,0.2639547794488745
pleia,temperature,2,1,42,cqr_rolling,360min_4of36,numerical_only,0.15555540029120019,supported_point_estimate,single_model_seed_descriptive,99.28357930615465,2727,442,2285,40.0,60.0,21,9907,68.79861111111111,53,0.7703643888159887,2615,18.15972222222222,0.2639547794488745
pleia,temperature,2,1,42,cqr_rolling,60min_4of6,availability_only,0.0625634927072711,supported_point_estimate,single_model_seed_descriptive,105.22304529371775,2727,172,2555,30.0,50.0,21,9907,68.79861111111111,0,0.0,0,0.0,0.0
