part,bytes,sha256,members,uncompressed_bytes
core.zip,24112820,702a1496e373f057a90a200a4a3277da1d1f6845d2fabefc83c9612284c87e16,85,49253356
contexts_01_08.zip,64086157,10ec6d5d23d139f34615c1caf1de42c3448c8cd2cfde1c884a429dce54b4a61a,15057,61890089
contexts_09_16.zip,63482107,bc991ea1f955b56cfb1566ec788245ed76ff7ce8a4f7b12091f44a59562449f9,15057,61291849
contexts_17_24.zip,64138752,1dea7c766c59e335919ffe631894332416e40858acbf168d287a6f800fd3aec0,15057,61946186
contexts_25_32.zip,63575266,d25f88563fcadeb7ef21bcea344e5b8b57ea6f9d5c972de4728ccaa1c0d2b094,15002,61385803
contexts_33_40.zip,63672133,e62df3b01deb8612dbdd61a613b7eaa6ed106190e158c6c24695e91b7b6887d0,15222,61458557
contexts_41_48.zip,62033520,23c4ff5f311199967f7838ba7cad662f72a008f66953123b61b62942766341c0,14672,59896434
contexts_49_56.zip,64187403,e5b21437cc742a1fcf34a2ba278a848463b62701f85bc7f79964e7ba90d90475,15002,62002147
contexts_57_64.zip,62953874,265dd5c3cf6fdd73100a480b4b4146e1150f8206eb6f6465f873d610d5fa8cb2,14947,60775915
contexts_65_68.zip,31672144,d66715c1daedca19b06db2960a15ae8315c1916407b20189cc814f227508499a,7611,30567447
