role,n,maximum_prediction_difference,owner_sha256
calibration,4452,0.0,133f716a83a772b358e21fba76068acda13e31c8bbdfa43465d61484102f918e
test,8692,0.0,133f716a83a772b358e21fba76068acda13e31c8bbdfa43465d61484102f918e
