dataset,outer_fold,model_seed,horizon,level,method,support,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status,provenance,run
bdg2,2,42,1,0.9,quantile_uncalibrated,common,34590,0.8305868748193119,-0.0694131251806881,0.0694131251806881,68.44616305956349,118.82976797306306,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,2367552.780230301,4110321.674188251,28730,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.9,cqr,common,34590,0.8802544087886672,-0.0197455912113327,0.0197455912113327,72.96545576111974,117.63860541584596,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,2523875.114777132,4069119.361334112,30448,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.9,recentred_enbpi_static,common,34590,0.8993639780283319,-0.0006360219716681,0.0006360219716681,100.45161294555696,183.8901367450398,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,3474621.2917868146,6360759.830010926,31109,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.9,recentred_enbpi_updated,common,34590,0.9018502457357618,0.0018502457357617,0.0018502457357617,85.19835601303845,133.73855846808326,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,2947011.134491,4626016.737411,31195,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.9,dscp,common,34590,0.8995952587453021,-0.0004047412546979,0.0004047412546979,82.46142362635659,151.65588317403416,17.76137686400313,34.975072596378595,614366.0257258682,42312414.77098835,2852340.6432356746,5245776.998989842,31117,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.95,quantile_uncalibrated,common,34590,0.8861520670714079,-0.063847932928592,0.063847932928592,89.47637662328131,154.58133505526388,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,3094987.8673993004,5346968.379561578,30652,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.95,cqr,common,34590,0.949956634865568,-4.3365134431927466e-05,4.3365134431927466e-05,97.84011620283482,152.50229839028248,17.24601941686474,35.677143339093455,596539.8116293513,44028177.48103405,3384289.6194560565,5275054.501319871,32859,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.95,recentred_enbpi_static,common,34590,0.9460826828563168,-0.0039173171436831,0.0039173171436831,143.6022724609375,246.89058281621956,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,4967202.604423828,8539945.259613033,32725,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.95,recentred_enbpi_updated,common,34590,0.9506504770164788,0.0006504770164788,0.0006504770164788,117.02237182674185,168.8689630149465,23.022251031309622,38.373127550490096,796339.6631729999,50933668.39383384,4047803.841487,5841177.430686999,32883,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
bdg2,2,42,1,0.95,dscp,common,34590,0.9462850534836658,-0.0037149465163341,0.0037149465163341,116.16013309522435,202.5198842297609,17.76137686400313,34.975072596378595,614366.0257258682,42312414.77098835,4017979.0037638103,7005162.79550743,32732,34590,0,0,complete,accepted_prior,smart_building_conformal/outputs/matched_intervals005/bdg2_f2_s42_v1
