dataset,level,method,cells,median_n,median_coverage,median_width,median_winkler,median_mae,target_unit
bdg2,0.9,cqr,45,34492.0,0.884523947582048,104.75799483979178,159.8733870555072,23.78901996420898,kWh
bdg2,0.9,dscp,45,34492.0,0.8955767562879445,120.61097244703129,203.3931541657095,24.80636400532204,kWh
bdg2,0.9,quantile_uncalibrated,45,34492.0,0.7892424947637887,97.91174116877184,172.6560797252535,23.78901996420898,kWh
bdg2,0.9,recentred_enbpi_static,45,34492.0,0.9022838970800808,147.27731518554685,252.79505458814717,31.62563573689552,kWh
bdg2,0.9,recentred_enbpi_updated,45,34492.0,0.8878870462715992,124.9815456447292,195.536034871451,31.62563573689552,kWh
bdg2,0.95,cqr,45,34492.0,0.9495287409820804,135.57608453404384,205.1658411699398,23.78901996420898,kWh
bdg2,0.95,dscp,45,34492.0,0.9462561433940444,164.6062206174385,272.2021928768335,24.80636400532204,kWh
bdg2,0.95,quantile_uncalibrated,45,34492.0,0.8240342099138934,122.98527883587472,220.61748200295165,23.78901996420898,kWh
bdg2,0.95,recentred_enbpi_static,45,34492.0,0.9495518936108702,215.8742163085937,333.44098458101666,31.62563573689552,kWh
bdg2,0.95,recentred_enbpi_updated,45,34492.0,0.9397251536588196,166.24699862185437,244.9514098999883,31.62563573689552,kWh
pleia,0.9,cqr,45,9902.0,0.8074126439103212,3.213688161715444,5.41938768111541,1.5644781279837496,°C
pleia,0.9,dscp,45,9902.0,0.8215512017774187,2.600092096556032,4.926400299858166,1.5621831926666734,°C
pleia,0.9,quantile_uncalibrated,45,9902.0,0.233488184205211,1.538259868027901,23.08646117692145,1.5644781279837496,°C
pleia,0.9,recentred_enbpi_static,45,9902.0,0.2128862855988689,1.666881179809572,25.888207042542295,1.971569136942032,°C
pleia,0.9,recentred_enbpi_updated,45,9902.0,0.848111492627752,3.65493338557867,5.215157087053121,1.971569136942032,°C
pleia,0.95,cqr,45,9902.0,0.8929509190062613,3.787793566374495,6.550738555142327,1.5644781279837496,°C
pleia,0.95,dscp,45,9902.0,0.8969905069682892,3.217835990601032,5.75032028590036,1.5621831926666734,°C
pleia,0.95,quantile_uncalibrated,45,9902.0,0.2635831145223187,2.204621129418328,43.8107143160883,1.5644781279837496,°C
pleia,0.95,recentred_enbpi_static,45,9902.0,0.2616643102403554,2.1813901901245103,44.377569929919176,1.971569136942032,°C
pleia,0.95,recentred_enbpi_updated,45,9902.0,0.9223389214300142,4.417519547263178,5.838689391739041,1.971569136942032,°C
pleia_energy,0.9,cqr,45,9902.0,0.8415471621894567,0.3635936753213811,1.0146390299441084,0.1205049130652457,kWh
pleia_energy,0.9,dscp,45,9902.0,0.819127449000202,0.7015564897242297,1.4477513878746189,0.1241636874902503,kWh
pleia_energy,0.9,quantile_uncalibrated,45,9902.0,0.743235056542811,0.3410813774462872,1.0405708414405772,0.1205049130652457,kWh
pleia_energy,0.9,recentred_enbpi_static,45,9902.0,0.8724500100989699,0.6933352053165436,1.819151276014136,0.1293853246540093,kWh
pleia_energy,0.9,recentred_enbpi_updated,45,9902.0,0.8926479499091092,0.6739517961571083,1.4358257514862685,0.1293853246540093,kWh
pleia_energy,0.95,cqr,45,9902.0,0.9456675419107252,0.4434690806642845,1.7271839714814357,0.1205049130652457,kWh
pleia_energy,0.95,dscp,45,9902.0,0.8869925267622703,0.8828212903078525,2.262080802605152,0.1241636874902503,kWh
pleia_energy,0.95,quantile_uncalibrated,45,9902.0,0.8299676898222941,0.4956993539216948,1.7459280836149766,0.1205049130652457,kWh
pleia_energy,0.95,recentred_enbpi_static,45,9902.0,0.9422338921430016,0.897540998458862,2.731967871603495,0.1293853246540093,kWh
pleia_energy,0.95,recentred_enbpi_updated,45,9902.0,0.9515249444556656,0.8845408163014944,2.2024976193033106,0.1293853246540093,kWh
rico,0.9,cqr,60,6437.0,0.8178047696637535,2.6902883272876403,4.578808966889327,0.40038801610970076,°C
rico,0.9,dscp,60,6437.0,0.8249780520320387,1.1640058434904044,3.5472581327570927,0.41821176077946565,°C
rico,0.9,quantile_uncalibrated,60,6437.0,0.5521982289886593,1.8517169069892934,6.672134046511756,0.40038801610970076,°C
rico,0.9,recentred_enbpi_static,60,6437.0,0.4774739785614416,1.1463795661926266,6.124316203570139,0.6051722893428615,°C
rico,0.9,recentred_enbpi_updated,60,6437.0,0.8517708306989751,1.6240791662265035,4.084739747070895,0.6051722893428615,°C
rico,0.95,cqr,60,6437.0,0.8740276959872251,3.64958768909071,5.7437843741190004,0.40038801610970076,°C
rico,0.95,dscp,60,6437.0,0.8860909494889646,1.448110123174764,4.86107983825517,0.41821176077946565,°C
rico,0.95,quantile_uncalibrated,60,6437.0,0.6468851949665994,2.6876405293300083,8.747837295669898,0.40038801610970076,°C
rico,0.95,recentred_enbpi_static,60,6437.0,0.6939477800940059,1.6115926424662297,8.44028222744965,0.6051722893428615,°C
rico,0.95,recentred_enbpi_updated,60,6437.0,0.9030116586160677,2.147910573170731,5.18726080019762,0.6051722893428615,°C
