dataset,outer_fold,model_seed,run_wall_seconds,validation_wall_seconds,resume_wall_seconds,resume_wall_seconds_recorded,validation_receipt,resume_receipt,run_stage_cpu_seconds,validation_cpu_seconds,run_peak_rss_bytes,validation_peak_rss_bytes
pleia,2,43,362.77394059998915,230.60828179999953,4.2502606000052765,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_f2_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_f2_s43.json,324.28125,223.734375,1249787904,1246105600
pleia,2,44,367.4598631999979,229.83412400001544,4.057478500006255,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_f2_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_f2_s44.json,329.203125,223.265625,1248501760,1249034240
pleia,2,45,367.3654902999988,232.1241885999916,4.1866140000056475,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_f2_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_f2_s45.json,329.953125,225.015625,1245974528,1248055296
pleia,2,46,368.073967699951,232.1802606000565,4.14952010003617,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_f2_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_f2_s46.json,328.828125,224.6875,1248407552,1249677312
pleia_energy,0,42,466.97506739996606,273.39002310001524,4.2781810000305995,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f0_s42,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f0_s42.json,425.3125,265.40625,680841216,602886144
pleia_energy,0,43,477.18070239998633,277.7107965000323,4.290412399976049,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f0_s43,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f0_s43.json,433.53125,266.84375,682414080,595300352
pleia_energy,0,44,469.1921472999966,274.6149468999938,4.2400990999885835,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f0_s44,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f0_s44.json,427.203125,265.90625,682221568,596938752
pleia_energy,0,45,473.5941049999674,274.1671007000259,4.288867700030096,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f0_s45,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f0_s45.json,431.875,265.5,683450368,602021888
pleia_energy,0,46,468.02277270000195,274.7495223999722,4.253741899970919,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f0_s46,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f0_s46.json,425.96875,266.796875,681603072,601231360
pleia_energy,1,42,426.78164030000335,254.4302861999604,4.103141900035553,True,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/validation/pleia_energy_f1_s42,smart_building_conformal/outputs/matched_intervals005/completion_52_v1_coordinator/resumes/pleia_energy_f1_s42.json,389.921875,247.140625,673927168,598679552
