dataset,outer_fold,model_seed,horizon,level,support,left_method,right_method,n,coverage_difference,mpiw_difference,winkler_difference,mae_difference,rmse_difference
bdg2,0,42,1,0.9,native,cqr,quantile_uncalibrated,34426,0.09838494161389655,0.7418532951880792,-0.10459117562909626,0.0,0.0
bdg2,0,42,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.08743391622610819,-13.487222944939873,-39.44482776738042,0.0,0.0
bdg2,0,42,1,0.95,native,cqr,quantile_uncalibrated,34426,0.1709173299250567,4.924009780774895,-1.1217117947130646,0.0,0.0
bdg2,0,42,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.0780805205368037,-24.71658128485987,-59.51078748864995,0.0,0.0
bdg2,0,42,3,0.9,native,cqr,quantile_uncalibrated,34422,0.16660856429027948,3.435256906271192,0.2604518908720479,0.0,0.0
bdg2,0,42,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.08846086804950315,-17.64821880702391,-56.219400572024085,0.0,0.0
bdg2,0,42,3,0.95,native,cqr,quantile_uncalibrated,34422,0.12593690081924347,10.134943689815131,0.29521602105418765,0.0,0.0
bdg2,0,42,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.08090755911916792,-39.44397632972496,-86.75361686477908,0.0,0.0
bdg2,0,42,6,0.9,native,cqr,quantile_uncalibrated,34416,0.027312877731287766,5.862752567256948,0.26700593835272457,0.0,0.0
bdg2,0,42,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.08693630869363089,-19.51626098351656,-67.36265202224126,0.0,0.0
bdg2,0,42,6,0.95,native,cqr,quantile_uncalibrated,34416,0.1283705253370525,16.878726703642542,1.235304639759022,0.0,0.0
bdg2,0,42,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.08036959553695955,-45.900843656014445,-108.6501736254719,0.0,0.0
bdg2,0,43,1,0.9,native,cqr,quantile_uncalibrated,34426,0.11604601173531637,1.038615873682744,-0.12138498098346417,0.0,0.0
bdg2,0,43,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.08171149712426651,-12.14167278673277,-39.537136118761424,0.0,0.0
bdg2,0,43,1,0.95,native,cqr,quantile_uncalibrated,34426,0.06617091732992497,6.066494075610819,-0.8712997815717642,0.0,0.0
bdg2,0,43,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.07691860802881545,-22.875687418506928,-59.347525771301434,0.0,0.0
bdg2,0,43,3,0.9,native,cqr,quantile_uncalibrated,34422,0.1274185114171169,3.2817416760176457,0.2198089438586237,0.0,0.0
bdg2,0,43,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.0488350473534368,-16.846097755472726,-57.35865686452246,0.0,0.0
bdg2,0,43,3,0.95,native,cqr,quantile_uncalibrated,34422,0.1275056649816978,10.20097760178767,0.6340347893216176,0.0,0.0
bdg2,0,43,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.04296670733833019,-36.84806559980302,-88.52804946880309,0.0,0.0
bdg2,0,43,6,0.9,native,cqr,quantile_uncalibrated,34416,0.026441190144119053,5.874082304684535,0.22578801601719078,0.0,0.0
bdg2,0,43,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.027835890283589015,-21.07503165629359,-67.33355178444899,0.0,0.0
bdg2,0,43,6,0.95,native,cqr,quantile_uncalibrated,34416,0.14318921431892162,19.563727484705794,2.4498728601317055,0.0,0.0
bdg2,0,43,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.021094839609483995,-45.698468810203934,-110.84202325153973,0.0,0.0
bdg2,0,44,1,0.9,native,cqr,quantile_uncalibrated,34426,0.09585778190902228,1.14271001239986,-0.16027949897801363,0.0,0.0
bdg2,0,44,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.08563295183872655,-13.329888737159507,-39.74264738501188,0.0,0.0
bdg2,0,44,1,0.95,native,cqr,quantile_uncalibrated,34426,0.11142740951606356,6.0275039035474265,-1.4279222196070407,0.0,0.0
bdg2,0,44,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.08147911462266899,-25.73435244456435,-59.65453086543698,0.0,0.0
bdg2,0,44,3,0.9,native,cqr,quantile_uncalibrated,34422,0.1185578990180699,2.6899988421389907,0.2043873426104028,0.0,0.0
bdg2,0,44,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.08689210388704904,-17.5031009217261,-56.464370006791825,0.0,0.0
bdg2,0,44,3,0.95,native,cqr,quantile_uncalibrated,34422,0.11004590087734578,8.754004531633868,0.3263160162248653,0.0,0.0
bdg2,0,44,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.07971646040323055,-37.30984498961723,-88.86185652830758,0.0,0.0
bdg2,0,44,6,0.9,native,cqr,quantile_uncalibrated,34416,0.09082984658298476,6.311256359808624,0.26719690431050935,0.0,0.0
bdg2,0,44,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.0876046025104602,-19.17358612966541,-67.63064501647284,0.0,0.0
bdg2,0,44,6,0.95,native,cqr,quantile_uncalibrated,34416,0.12659809390980936,16.551213752489105,1.0453658547338023,0.0,0.0
bdg2,0,44,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.07856810785681068,-43.50457575892804,-110.4146541238282,0.0,0.0
bdg2,0,45,1,0.9,native,cqr,quantile_uncalibrated,34426,0.10181258351246147,1.3353224095392449,-0.1587384933602891,0.0,0.0
bdg2,0,45,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.08601057340382268,-13.337894999539643,-39.78362311267938,0.0,0.0
bdg2,0,45,1,0.95,native,cqr,quantile_uncalibrated,34426,0.10625689885551615,5.313328353549153,-1.1183163803987384,0.0,0.0
bdg2,0,45,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.07776099459710673,-22.82139190000771,-60.350544455012425,0.0,0.0
bdg2,0,45,3,0.9,native,cqr,quantile_uncalibrated,34422,0.09575271628609605,3.448191144789945,0.18381487070499247,0.0,0.0
bdg2,0,45,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.08654348962872582,-16.999506514579366,-57.17564924895953,0.0,0.0
bdg2,0,45,3,0.95,native,cqr,quantile_uncalibrated,34422,0.07701469990122589,11.112506153347155,0.7360408834664725,0.0,0.0
bdg2,0,45,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.07704375108941963,-34.32044943429412,-89.8544883112875,0.0,0.0
bdg2,0,45,6,0.9,native,cqr,quantile_uncalibrated,34416,0.030015109251510963,5.554135366283148,0.041123939569416734,0.0,0.0
bdg2,0,45,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.08452463970246393,-19.272618384355525,-68.19220019716056,0.0,0.0
bdg2,0,45,6,0.95,native,cqr,quantile_uncalibrated,34416,0.14263714551371443,18.079309774642013,1.2135628130094176,0.0,0.0
bdg2,0,45,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.07830660158066005,-43.957149254959944,-110.45078881522414,0.0,0.0
bdg2,0,46,1,0.9,native,cqr,quantile_uncalibrated,34426,0.10977168419218031,0.9313329208315082,-0.15442107902715918,0.0,0.0
bdg2,0,46,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.08833439841979895,-13.32853021691298,-39.51881407137287,0.0,0.0
bdg2,0,46,1,0.95,native,cqr,quantile_uncalibrated,34426,0.10123162725846746,5.035905152793816,-1.0361568128605825,0.0,0.0
bdg2,0,46,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34426,-0.07869052460349735,-24.926523302376495,-59.278020774723814,0.0,0.0
bdg2,0,46,3,0.9,native,cqr,quantile_uncalibrated,34422,0.11254430306199525,3.269432266322042,0.1762829610802612,0.0,0.0
bdg2,0,46,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.08744407646272734,-18.006598442342906,-55.6466564572832,0.0,0.0
bdg2,0,46,3,0.95,native,cqr,quantile_uncalibrated,34422,0.10963918424263563,9.784574377688415,0.4063039611793613,0.0,0.0
bdg2,0,46,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34422,-0.08015222822613444,-35.83427090336849,-86.36742128987524,0.0,0.0
bdg2,0,46,6,0.9,native,cqr,quantile_uncalibrated,34416,0.11828800557880059,5.423947757146266,0.18142286184306045,0.0,0.0
bdg2,0,46,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.0874012087401208,-20.325224384482226,-67.0177052708668,0.0,0.0
bdg2,0,46,6,0.95,native,cqr,quantile_uncalibrated,34416,0.14164923291492315,17.030681496062158,1.1230846965713113,0.0,0.0
bdg2,0,46,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34416,-0.08269409576940956,-46.8413896657859,-109.6774866078506,0.0,0.0
bdg2,1,42,1,0.9,native,cqr,quantile_uncalibrated,34532,0.18762307424997104,3.4441169348000074,-8.42663807516152,0.0,0.0
bdg2,1,42,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.01734622958415377,-18.76578933219419,-40.463354124176504,0.0,0.0
bdg2,1,42,1,0.95,native,cqr,quantile_uncalibrated,34532,0.18765203289702315,4.395754537992303,-3.4996786690035435,0.0,0.0
bdg2,1,42,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.01549287617282502,-34.11641567743257,-60.235319623100224,0.0,0.0
bdg2,1,42,3,0.9,native,cqr,quantile_uncalibrated,34536,0.10950891823025255,9.152016666053171,-22.045200271781823,0.0,0.0
bdg2,1,42,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.01705466759323604,-22.81261222469442,-59.402287224552765,0.0,0.0
bdg2,1,42,3,0.95,native,cqr,quantile_uncalibrated,34536,0.1952455408848739,9.293973933390532,-10.595053491350967,0.0,0.0
bdg2,1,42,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.015201528839472012,-51.81162618864468,-86.63918739538423,0.0,0.0
bdg2,1,42,6,0.9,native,cqr,quantile_uncalibrated,34542,0.17234091830235654,5.060417456603318,-6.496759573828967,0.0,0.0
bdg2,1,42,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.012709165653407406,-20.65502040514602,-70.7756991653427,0.0,0.0
bdg2,1,42,6,0.95,native,cqr,quantile_uncalibrated,34542,0.198454055931909,10.808310308955527,-8.636014712047483,0.0,0.0
bdg2,1,42,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.015980545422963344,-54.704418903760455,-102.04493177482033,0.0,0.0
bdg2,1,43,1,0.9,native,cqr,quantile_uncalibrated,34532,0.1484130661415498,3.8958958320679784,-8.553698808826567,0.0,0.0
bdg2,1,43,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.01757789876056992,-18.369029153447244,-39.498072787292074,0.0,0.0
bdg2,1,43,1,0.95,native,cqr,quantile_uncalibrated,34532,0.15498667902235608,2.682603636324984,-3.640369330390115,0.0,0.0
bdg2,1,43,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.017317270937102003,-34.76432708084708,-58.99992130507195,0.0,0.0
bdg2,1,43,3,0.9,native,cqr,quantile_uncalibrated,34536,0.10157516794069954,6.522492739924118,-12.467081344246623,0.0,0.0
bdg2,1,43,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.01980542043085476,-23.941675429000597,-57.27194407157259,0.0,0.0
bdg2,1,43,3,0.95,native,cqr,quantile_uncalibrated,34536,0.19171299513551077,10.150998193035022,-13.363912921355563,0.0,0.0
bdg2,1,43,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.01916840398424835,-55.26546156487609,-84.66603884756185,0.0,0.0
bdg2,1,43,6,0.9,native,cqr,quantile_uncalibrated,34542,0.19665913959817038,5.591226211915654,-7.436777358621413,0.0,0.0
bdg2,1,43,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.015691042788489318,-20.686684938971098,-70.025780649231,0.0,0.0
bdg2,1,43,6,0.95,native,cqr,quantile_uncalibrated,34542,0.2022754907069656,12.39708449870622,-11.721311279169782,0.0,0.0
bdg2,1,43,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.01708065543396442,-52.5414767896155,-100.29036105200396,0.0,0.0
bdg2,1,44,1,0.9,native,cqr,quantile_uncalibrated,34532,0.18637785242673466,2.741769398089218,-4.806047824267921,0.0,0.0
bdg2,1,44,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.013697440055600585,-17.631170866174187,-39.76266120315839,0.0,0.0
bdg2,1,44,1,0.95,native,cqr,quantile_uncalibrated,34532,0.1653538746669756,4.216214907481984,-5.3110601007635125,0.0,0.0
bdg2,1,44,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.014421406231900802,-30.922841986876037,-58.714238123056305,0.0,0.0
bdg2,1,44,3,0.9,native,cqr,quantile_uncalibrated,34536,0.13837734537873514,5.9902086134792825,-11.912019517722143,0.0,0.0
bdg2,1,44,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.016533472318739806,-20.648342316764072,-57.57934799567778,0.0,0.0
bdg2,1,44,3,0.95,native,cqr,quantile_uncalibrated,34536,0.19127866574009722,9.65034876549936,-14.769428845773831,0.0,0.0
bdg2,1,44,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.014246004169562232,-47.029480904442494,-84.03254885166035,0.0,0.0
bdg2,1,44,6,0.9,native,cqr,quantile_uncalibrated,34542,0.16660876613977194,7.503142016705397,-9.053960430791278,0.0,0.0
bdg2,1,44,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.011001100110011097,-18.2129240885356,-72.09035666790277,0.0,0.0
bdg2,1,44,6,0.95,native,cqr,quantile_uncalibrated,34542,0.19037693243008524,10.907734791522017,-13.250808374746896,0.0,0.0
bdg2,1,44,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.0166174512188062,-50.81813068716829,-103.98801427389043,0.0,0.0
bdg2,1,45,1,0.9,native,cqr,quantile_uncalibrated,34532,0.1833951117803777,3.0274733782222114,-6.457356338778936,0.0,0.0
bdg2,1,45,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.015608710761033318,-17.31493342211401,-40.54637700267202,0.0,0.0
bdg2,1,45,1,0.95,native,cqr,quantile_uncalibrated,34532,0.18119425460442495,4.180997685357397,-6.35106819189113,0.0,0.0
bdg2,1,45,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.01537704158461728,-32.901279358644786,-59.87677542320543,0.0,0.0
bdg2,1,45,3,0.9,native,cqr,quantile_uncalibrated,34536,0.14217048876534633,3.783300013914314,-6.181147937274915,0.0,0.0
bdg2,1,45,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.016475561732684607,-20.52733829299234,-57.5649193897043,0.0,0.0
bdg2,1,45,3,0.95,native,cqr,quantile_uncalibrated,34536,0.1877461199907342,10.77929082889247,-22.871565635325965,0.0,0.0
bdg2,1,45,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.01436182534167263,-46.9350741525752,-84.8891647140139,0.0,0.0
bdg2,1,45,6,0.9,native,cqr,quantile_uncalibrated,34542,0.15572346708355045,7.336915430890116,-11.638545177664241,0.0,0.0
bdg2,1,45,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.01354872329338197,-18.390279689107757,-69.07307186764234,0.0,0.0
bdg2,1,45,6,0.95,native,cqr,quantile_uncalibrated,34542,0.19796190145330328,10.62396787933369,-11.366142730130292,0.0,0.0
bdg2,1,45,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.01627004805743737,-49.50922081865528,-100.38182550127601,0.0,0.0
bdg2,1,46,1,0.9,native,cqr,quantile_uncalibrated,34532,0.16914745743078885,3.8944730961971885,-9.867360025737483,0.0,0.0
bdg2,1,46,1,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.017056643113633863,-19.59348049301508,-40.12171510145967,0.0,0.0
bdg2,1,46,1,0.95,native,cqr,quantile_uncalibrated,34532,0.1670045175489402,4.493552742739112,-6.969373585255994,0.0,0.0
bdg2,1,46,1,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34532,-0.016187883702073358,-33.719337767402365,-59.82694774318912,0.0,0.0
bdg2,1,46,3,0.9,native,cqr,quantile_uncalibrated,34536,0.1018647208709752,7.099318667460864,-16.34094994172699,0.0,0.0
bdg2,1,46,3,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.018154968728283594,-22.392538166712853,-58.44408285593306,0.0,0.0
bdg2,1,46,3,0.95,native,cqr,quantile_uncalibrated,34536,0.1985464442900161,9.438009558527654,-16.709998301377027,0.0,0.0
bdg2,1,46,3,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34536,-0.01673615936993278,-52.60445450131871,-85.93910044383213,0.0,0.0
bdg2,1,46,6,0.9,native,cqr,quantile_uncalibrated,34542,0.17509119332985934,8.423902291110636,-15.828470895967314,0.0,0.0
bdg2,1,46,6,0.9,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.014735684094725254,-20.295223037851372,-72.28110797735735,0.0,0.0
bdg2,1,46,6,0.95,native,cqr,quantile_uncalibrated,34542,0.1859185918591859,11.610940592161796,-16.617615296072188,0.0,0.0
bdg2,1,46,6,0.95,native,recentred_enbpi_updated,recentred_enbpi_static,34542,-0.014967286202304586,-51.74058189839175,-104.98622414725207,0.0,0.0
bdg2,2,42,1,0.9,native,cqr,quantile_uncalibrated,34640,0.049653579676674386,4.519292701556253,-1.1972742482157201,0.0,0.0
