dataset,horizon,outer_fold,model_seed,role,frequency,n,membership_hash,row_id_hash,origin_min,origin_max,target_min,target_max
pleia_energy,1,2,43,fit,0 days 00:10:00,14858,44caea14eb9235d38ecc221b7d59fdc2f8f54bff0f52fbbd9e0bb1b805ca2387,24ce73785501ff4786fb0ae996364f8e145b4b21700a3a571554a5938dd70ade,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00
pleia_energy,1,2,43,calibration,0 days 00:10:00,4953,05d6c30f8c3813efdcab97c9bdab0eee81ce669af9af5b8b70b88518c07f2ca8,f15ad2a2ec27d37ae1857a3e23c7c43a238d7f5a9db3b667111c380b16382500,2021-04-21 04:30:00,2021-05-25 13:50:00,2021-04-21 04:40:00,2021-05-25 14:00:00
pleia_energy,1,2,43,test,0 days 00:10:00,9907,b6bdcea0efeca5c07185bc1f75980e8a2570387a5c08e31f9cd301cf38cb60bd,99d72f4e202d73a2f0741156b0869793469cfbd9485f853689fa883bce87daa3,2021-05-25 14:10:00,2021-08-02 09:10:00,2021-05-25 14:20:00,2021-08-02 09:20:00
pleia_energy,1,2,43,inner0_train,0 days 00:10:00,4951,0388e109290a61d05fa9d59bbd9c237bab2a32267e29b1fb8a9d86b58d147f6d,70cade1f008e511232829b472a3b7c67bc84c109140470714270e792d5c7e97b,2021-01-07 23:50:00,2021-02-11 08:50:00,2021-01-08 00:00:00,2021-02-11 09:00:00
pleia_energy,1,2,43,inner0_validation,0 days 00:10:00,4952,d9b8de7f361f4bdbe04542b9c243a2685ce657a01202469acaf8acd43c1c7106,9381f3eb0d221051813de2df0d6f8b60e2bc3ec108c925e0eb875f7a6e607493,2021-02-11 09:10:00,2021-03-17 18:20:00,2021-02-11 09:20:00,2021-03-17 18:30:00
pleia_energy,1,2,43,inner1_train,0 days 00:10:00,9903,ce74106a5bae27e1e344fdc38942436bf694eabfb98ddbe63b832a5414090828,98d395a3458442f6b33b72140be4827f7cc87caf92ea1fa3046b332b25d90001,2021-01-07 23:50:00,2021-03-17 18:20:00,2021-01-08 00:00:00,2021-03-17 18:30:00
pleia_energy,1,2,43,inner1_validation,0 days 00:10:00,4953,36a56bf1ec8357c98060da403a08ce064b57ba57997bc7c82896591862424bbd,ff9099d61e16e3b26aa2737196df355bb32d37e67b948e5e9e55852fa0e92a33,2021-03-17 18:40:00,2021-04-21 04:00:00,2021-03-17 18:50:00,2021-04-21 04:10:00
pleia_energy,3,2,43,fit,0 days 00:10:00,14855,9fc9e18746429e574996b5d318c420366de84a249898bc72faa113826ebf5288,558cff0744ce974849383acc7967f940020b64bfac9013ed4a208009b2708bf5,2021-01-07 23:30:00,2021-04-21 03:10:00,2021-01-08 00:00:00,2021-04-21 03:40:00
pleia_energy,3,2,43,calibration,0 days 00:10:00,4952,314903ce4f8c8409c5417c2d6b829e4549971bebc3d6a0dc881d54aa3c565364,4229dfd898ed95c9f9693260d3cb9bb25c08cf354ea18d6e850f1422de1405f1,2021-04-21 04:00:00,2021-05-25 13:10:00,2021-04-21 04:30:00,2021-05-25 13:40:00
pleia_energy,3,2,43,test,0 days 00:10:00,9907,f7a8b2ab436b98d9e3c4127b8c0c687d2944e7cc7512d2ddf6c76666e097c7ea,c2d53e2fc20a6e6e5143df383f37e38aeb9e86b2de67c63088da1d4583d4b1dd,2021-05-25 13:50:00,2021-08-02 08:50:00,2021-05-25 14:20:00,2021-08-02 09:20:00
pleia_energy,3,2,43,inner0_train,0 days 00:10:00,4948,ebf7520964f58026cc222578bba1f1d2a33b67198299f1c5bba1566bd6784377,894b35f84e79ef291432eb4ec2ea7a1f5f02cfd69a67e241ecae730eafa5e89a,2021-01-07 23:30:00,2021-02-11 08:00:00,2021-01-08 00:00:00,2021-02-11 08:30:00
pleia_energy,3,2,43,inner0_validation,0 days 00:10:00,4949,2aa22d1ba1125056fdd68d6b2027eacd834f9664eaae2b53cff2a9faa7ddf126,41af3db740ef555be369e15e8e0eabcc34559abc88a624a17301e8eed7414656,2021-02-11 08:40:00,2021-03-17 17:20:00,2021-02-11 09:10:00,2021-03-17 17:50:00
pleia_energy,3,2,43,inner1_train,0 days 00:10:00,9897,78a72344eb383f72004edb224f83c552a272dfeaffbb94ff79fcbecf0505fce1,581506cccfe66c620c944cd60584ec2109d04279aca39b38d38f40d6b80f9d9a,2021-01-07 23:30:00,2021-03-17 17:20:00,2021-01-08 00:00:00,2021-03-17 17:50:00
pleia_energy,3,2,43,inner1_validation,0 days 00:10:00,4952,5e7ec7b15735ad3fbb7d39223dba2b0d10397023ec6e05681ca69c5b3cfa1106,72c8599283ed3e772db63a8669d21aa9c29578597a29d0cc7558d3f93476d419,2021-03-17 18:00:00,2021-04-21 03:10:00,2021-03-17 18:30:00,2021-04-21 03:40:00
pleia_energy,6,2,43,fit,0 days 00:10:00,14850,c21c125ed8b2b56ebab6814a8c4c6928ac9b4775caaa9582d3c5ea87dcb4ad99,81ae297f2155a20502ed6b8c4f4e4ee7495737057e22b71392aeb2aa2ddc47a5,2021-01-07 23:00:00,2021-04-21 01:50:00,2021-01-08 00:00:00,2021-04-21 02:50:00
pleia_energy,6,2,43,calibration,0 days 00:10:00,4951,1b95885bd959657f0d1505f6455c91dfcaf78fa9649478e989853104b5d655ff,0ee87531d3a77d326c99ffdf39a8bb6058827ab4d41014255a2219c6f898c125,2021-04-21 03:10:00,2021-05-25 12:10:00,2021-04-21 04:10:00,2021-05-25 13:10:00
pleia_energy,6,2,43,test,0 days 00:10:00,9907,061c08c3374dc0f9d45dfa8547f11e8a31a823c67efe645c11e25597c6f32a22,de4207e52d512c374af24bbef6311e23f19f23ecb4445280cc7d8e7442dfa6fc,2021-05-25 13:20:00,2021-08-02 08:20:00,2021-05-25 14:20:00,2021-08-02 09:20:00
pleia_energy,6,2,43,inner0_train,0 days 00:10:00,4944,ef4c97630e1a30ed5ea78b5d3220a444b45a45deea3db4bc05921facedfefdd0,328842348301366ce8fe85db3fa1025816d1385a1911ecdf0085057400431be3,2021-01-07 23:00:00,2021-02-11 06:50:00,2021-01-08 00:00:00,2021-02-11 07:50:00
pleia_energy,6,2,43,inner0_validation,0 days 00:10:00,4944,987b5f86df7c4ef83440458fc6052673b666f7afaa8cafe432b957312a7baf1a,3fca8ca2b13c38ef70b28003e66e17aaa36980997b69268ed2b7829d5d5eaec1,2021-02-11 08:00:00,2021-03-17 15:50:00,2021-02-11 09:00:00,2021-03-17 16:50:00
pleia_energy,6,2,43,inner1_train,0 days 00:10:00,9888,2dc694d5d8c75613f988358567fc902a59612824bf4fe52e48f329877f9414ae,2827d1ac25edee475ef3b63d536bcbb06ff0c60d11e75fbecbab90adb8c43ffc,2021-01-07 23:00:00,2021-03-17 15:50:00,2021-01-08 00:00:00,2021-03-17 16:50:00
pleia_energy,6,2,43,inner1_validation,0 days 00:10:00,4950,572dcac44c6e1158610a08b78ecb5c1149b22c6d871aff27ae12237385d67cc1,ad6053be09fd9bdb574b94eeacd9604602b0c455963142350f227dfa3ec50447,2021-03-17 17:00:00,2021-04-21 01:50:00,2021-03-17 18:00:00,2021-04-21 02:50:00
rico,5,2,43,fit,0 days 00:01:00,12932,3658387a50ac69383d169c4cd64e0f10af6cb1173d670d23cd36cc41340234e7,c755dd01ece762dbd51ba428c055e8553cdf95dcc026a35d8a864ea2dda9baaa,2023-07-26 15:24:00,2023-08-07 22:55:00,2023-07-26 15:29:00,2023-08-07 23:00:00
rico,5,2,43,calibration,0 days 00:01:00,4452,5d80e479d7f2d8194826bd75f476bb30f29d341ebeb04f975816feb43ded72c5,95fbd3e9e78192059585691a00d55cc264e607ec334a8f3a3988fe57e1814fdc,2023-08-07 23:24:00,2023-08-12 02:55:00,2023-08-07 23:29:00,2023-08-12 03:00:00
rico,5,2,43,test,0 days 00:01:00,8692,0083f660ce00ba82b7680ac8a176432167c878e986a4911db7dc1df20306108f,7d1aee54ebd66b5f6541f1af4efedc077913db45c4fb7ea01f732b52411d52d0,2023-08-12 07:24:00,2024-02-04 10:55:00,2023-08-12 07:29:00,2024-02-04 11:00:00
rico,5,2,43,inner0_train,0 days 00:01:00,4240,c1a4e771c1a038bd72f692838b5d8582f89cb22ed86367cf0f4b67f5ee82d04c,d0fae55550952c749ca4cb3c93ec3f59e8b3a9f62c2bdde723c9cc80c6bf88de,2023-07-26 15:24:00,2023-07-30 22:55:00,2023-07-26 15:29:00,2023-07-30 23:00:00
rico,5,2,43,inner0_validation,0 days 00:01:00,4240,e3a07ebc686275bff2d1dc7d8558595990613af830655e24b8a205e8d43a0609,28e29d294b80eeb6a5f8994b0744951494a3e4717e07f370f158f948a33d0e48,2023-07-30 23:24:00,2023-08-03 22:55:00,2023-07-30 23:29:00,2023-08-03 23:00:00
rico,5,2,43,inner1_train,0 days 00:01:00,8480,6e488b9c421d5b5bde8e49d51a5acc9fd405fbdec90e71ed8be66f739b614b6e,2208aa8747a405f6e07db0aca45f47b897d2142c3d45af5770fdc650c204e411,2023-07-26 15:24:00,2023-08-03 22:55:00,2023-07-26 15:29:00,2023-08-03 23:00:00
rico,5,2,43,inner1_validation,0 days 00:01:00,4452,4ed20a262cd2134ba3c9e63f62e81a4e9e1ba38dc0ab4bbcbffcb4b038b50f0f,f610fdc1f2fd8e841130d8948f2add6ece5b3ea6a1cb4ee8babd9615dfaf6e16,2023-08-03 23:24:00,2023-08-07 22:55:00,2023-08-03 23:29:00,2023-08-07 23:00:00
rico,15,2,43,fit,0 days 00:01:00,12322,43b916ba9404ba05674434bee730459042f5429db85147bf7480e4994566518e,78091d5eff830e5cec75e981f2374fa92a1411659cefc3dbe1f2a66d39d9d20a,2023-07-26 15:24:00,2023-08-07 22:45:00,2023-07-26 15:39:00,2023-08-07 23:00:00
rico,15,2,43,calibration,0 days 00:01:00,4242,33982386d1966661ed68b05d6d47cf1b0655579aae4145632efa839b722621cd,b24b1ffac74ec3618d19e253737eb069d0f486f2215540f259dccc4a7533bdc7,2023-08-07 23:24:00,2023-08-12 02:45:00,2023-08-07 23:39:00,2023-08-12 03:00:00
rico,15,2,43,test,0 days 00:01:00,8282,94377b43ba0ad98a55be4a3e803052ff54825de93fe43932bd54dd5a5999210f,70ee9d673d19e218dbcf71db42bc92f130090496931b95a3f5272b32330ac9ff,2023-08-12 07:24:00,2024-02-04 10:45:00,2023-08-12 07:39:00,2024-02-04 11:00:00
rico,15,2,43,inner0_train,0 days 00:01:00,4040,5829454b8cc8ac6982c945339d4310a9a179cdd14bcd461b9599ce0e6d31a025,8b5377dedc5eef41e49d14b9d7048a8d4b20a24cc3f0213b3b402a19a9daf73e,2023-07-26 15:24:00,2023-07-30 22:45:00,2023-07-26 15:39:00,2023-07-30 23:00:00
rico,15,2,43,inner0_validation,0 days 00:01:00,4040,6649edb21bb9388ae4121dd285b20bb3005dcbe0c29f1f6f44aeabe295515229,e40b4a7e2ed7d0eff6a01bcacf6dd491fd4801938e5c53b8aeade8bf81122560,2023-07-30 23:24:00,2023-08-03 22:45:00,2023-07-30 23:39:00,2023-08-03 23:00:00
rico,15,2,43,inner1_train,0 days 00:01:00,8080,f9a21800560e18a5ee7609e4a2a91977dcc135238791f272cd6cd8c2fe8fb273,9180db22b831fe0e7ca58b24616399502cd01d6e796e73eda4fa4cf2184cfcec,2023-07-26 15:24:00,2023-08-03 22:45:00,2023-07-26 15:39:00,2023-08-03 23:00:00
rico,15,2,43,inner1_validation,0 days 00:01:00,4242,869e32a55876afd5037cfa569780a029ba6195f2b33156bd33c1e987f35d2fdc,57e398b6b31b811e1694aff2168883e9bc8e05d8adeeda9dcf5e072c177a184c,2023-08-03 23:24:00,2023-08-07 22:45:00,2023-08-03 23:39:00,2023-08-07 23:00:00
