model,mae,rmse,n,negative_predictions,verified
persistence,73.28396772228638,119.92957137497905,34640,0,True
xgboost,34.160346078852164,66.77849584385011,34640,73,True
attention_lstm,39.96476742178126,77.69875929362189,34640,180,True
