role,n,maximum_prediction_difference,owner_sha256
calibration,17350,0.0,52d130ac5eb59b5bd247fdb98717ad47f7bc8ece3e445fe979538beefe1bfa5e
test,34640,0.0,52d130ac5eb59b5bd247fdb98717ad47f7bc8ece3e445fe979538beefe1bfa5e
