role,candidate_id,method,rule_id,strategy,inner_fold,macro_event_recall,observed_strata_recall,custom_synthetic_f1,event_recall_micro,ordinary_matched_event_episode_precision,background_episodes_per_asset_day,exposure_asset_days,n_events,n_detected,corrupted_episode_count,unmatched_episode_count,time_in_alert_fraction,observed_strata,detected_delay_median_minutes,detected_delay_q90_minutes,undetected_fraction,delay_restriction_minutes,restricted_mean_detection_minutes,equal_group_episode_rate,equal_group_event_recall,portfolio_calendar_days,portfolio_episodes_per_calendar_day,bound_status,valid_replicates,supported_strata,recall_lcb,recall_ucb,workload_lcb,workload_ucb
inner0_selection,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,0,0.811184550376345,0.811184550376345,0.2773335548476317,0.800942285041225,0.170155976311619,1.97757640915374,1085.1666666666665,2547,2040,11989,9949,0.16088158500998312,21,60.0,240.0,0.199057714958775,360.0,134.4876325088339,1.9771996168613502,0.8015558120729231,108.54166666666667,19.771209213051822,supported,2000,21,0.7623324367852169,0.8549243704787891,1.3696752962067213,2.531416842190287
inner0_selection,c0001_ee0570e08213,quantile_uncalibrated,180min_3of3,static,0,0.2630560273065568,0.2630560273065568,0.2781887930206669,0.27208480565371024,0.3727810650887574,0.24973122408232226,1085.1666666666665,2547,693,1859,1166,0.038020273383504846,21,120.0,240.0,0.7279151943462898,360.0,302.4028268551237,0.24968433894920458,0.2728887375195093,108.54166666666667,2.496737044145873,supported,2000,21,0.22113069326574109,0.3038258653038585,0.15107447933728754,0.3666794625719769
inner0_selection,c0002_fa76e087b17d,quantile_uncalibrated,360min_4of6,static,0,0.23238974817776442,0.23238974817776442,0.2562872192229679,0.2387122104436592,0.3658243080625752,0.2303793580095224,1085.1666666666665,2547,608,1662,1054,0.05809399477806789,21,180.0,300.0,0.7612877895563408,360.0,316.6077738515901,0.23033054939925957,0.2390959340260928,108.54166666666667,2.3032629558541267,supported,2000,21,0.19485743011637272,0.27044420097984073,0.1318377381684081,0.33904225979893465
inner0_selection,c0012_23099bed3753,cqr,single_sample,static,0,0.6532555521050627,0.6532555521050627,0.36846383191596915,0.6317235963879073,0.2736394557823129,0.833051758562433,1085.1666666666665,2547,1609,5880,4271,0.0721394563047151,21,60.0,180.0,0.3682764036120927,360.0,176.46643109540636,0.8328641386506991,0.6326487747481557,108.54166666666667,8.328598848368522,supported,2000,21,0.5477292922312375,0.7496704356459372,0.36848023241979566,1.3379654510556607
inner0_selection,c0013_a21278d4e492,cqr,180min_3of3,static,0,0.145874328015305,0.145874328015305,0.19153286198711234,0.149195131527287,0.5451936872309899,0.06911380740285672,1085.1666666666665,2547,380,697,317,0.015028413454154507,21,120.0,180.0,0.850804868472713,360.0,327.44405182567726,0.0690978886756238,0.14987088909612917,108.54166666666667,0.690978886756238,supported,2000,21,0.10491197459673955,0.18808723144217648,0.018430348640761787,0.134510556621881
inner0_selection,c0014_54a0e1ef5720,cqr,360min_4of6,static,0,0.11526076771047586,0.11526076771047586,0.15052543988683573,0.11817824892029839,0.4918300653594771,0.06634925510674244,1085.1666666666665,2547,301,612,311,0.02084933189986177,21,180.0,240.0,0.8818217510797016,360.0,338.8928150765607,0.06633397312859883,0.11857725245225592,108.54166666666667,0.6633397312859884,supported,2000,21,0.08266788503401991,0.1524948934448773,0.013825946693294415,0.13358925143953934
inner0_selection,c0024_ba16b82adffd,cqr,single_sample,rolling,0,0.702584369900663,0.702584369900663,0.42605801209293387,0.6843345111896348,0.328125,0.8708339732759945,1085.1666666666665,2547,1743,5312,3569,0.06371525111350024,21,60.0,180.0,0.31566548881036516,360.0,162.12014134275617,0.870837580377511,0.6845530738955157,108.54166666666667,8.706333973128599,supported,2000,21,0.6647882041134718,0.7386767591772061,0.77021113243762,0.9666717862079557
inner0_selection,c0025_63dd1cc1601e,cqr,180min_3of3,rolling,0,0.14790888861210544,0.14790888861210544,0.19703712210130941,0.14998036906164114,0.5512265512265512,0.08846567347565659,1085.1666666666665,2547,382,693,311,0.011088926432191675,21,120.0,180.0,0.8500196309383589,360.0,328.2449941107185,0.08849847017788473,0.15038245999137417,108.54166666666667,0.8844529750479846,supported,2000,21,0.1208430505321841,0.1803612360535988,0.046042486493402125,0.13825946693294414
inner0_selection,c0026_47d9fe7d15ba,cqr,360min_4of6,rolling,0,0.10618624458833577,0.10618624458833577,0.14072200684956626,0.10679230467216333,0.556237218813906,0.06266318537859009,1085.1666666666665,2547,272,489,217,0.014659806481339271,21,180.0,240.0,0.8932076953278367,360.0,341.3898704358068,0.06268490981693091,0.1068246642169377,108.54166666666667,0.6264875239923224,supported,2000,21,0.08917103912413096,0.12522459710932646,0.02948176583493282,0.10053558725343742
inner1_selection,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,1,0.8449060899848985,0.8449060899848985,0.32297902085342484,0.8418367346938775,0.20322122216958788,1.646498771498772,1085.333333333333,2548,2145,10555,8410,0.13714680589680592,21,60.0,180.0,0.15816326530612246,360.0,116.7032967032967,1.6460601269474213,0.8413173214981254,108.58333333333333,16.457405986185726,supported,2000,21,0.8081715501869843,0.875166790554081,1.1885382320330515,2.135732924021488
