group_id,status,pre_coverage,window_steps,recovery_minutes,recovery_censored,followup_minutes,role,candidate_id,catalogue_seed
Lamb_assembly_Cesar,right_censored,0.94,8,,True,1920.0,inner0_selection,c0002_fa76e087b17d,45
Moose_education_Ricardo,observed,1.0,5,300.0,False,1260.0,inner0_selection,c0002_fa76e087b17d,45
Mouse_health_Estela,observed,1.0,20,1260.0,False,4980.0,inner0_selection,c0002_fa76e087b17d,45
Mouse_health_Justin,observed,0.8571428571428571,7,660.0,False,1800.0,inner0_selection,c0002_fa76e087b17d,45
Eagle_assembly_Benny,right_censored,0.9142857142857143,5,,True,1260.0,inner0_selection,c0002_fa76e087b17d,46
Eagle_assembly_Ian,right_censored,0.8333333333333334,19,,True,4680.0,inner0_selection,c0002_fa76e087b17d,46
Fox_education_Henrietta,observed,1.0,14,1020.0,False,3360.0,inner0_selection,c0002_fa76e087b17d,46
Hog_assembly_Colette,right_censored,0.5535714285714286,24,,True,8580.0,inner0_selection,c0002_fa76e087b17d,46
Hog_assembly_Dona,right_censored,0.8653846153846154,3,,True,840.0,inner0_selection,c0002_fa76e087b17d,46
Lamb_assembly_Bertie,observed,0.2857142857142857,3,360.0,False,720.0,inner0_selection,c0002_fa76e087b17d,46
Lamb_assembly_Cesar,observed,1.0,3,180.0,False,900.0,inner0_selection,c0002_fa76e087b17d,46
Moose_education_Ricardo,observed,1.0,2,180.0,False,540.0,inner0_selection,c0002_fa76e087b17d,46
Mouse_health_Estela,observed,0.8918918918918919,21,4680.0,False,5040.0,inner0_selection,c0002_fa76e087b17d,46
Mouse_health_Justin,observed,0.7887323943661971,6,360.0,False,1440.0,inner0_selection,c0002_fa76e087b17d,46
Eagle_assembly_Benny,observed,1.0,2,120.0,False,540.0,inner0_selection,c0012_23099bed3753,42
Eagle_assembly_Ian,observed,0.875,10,600.0,False,2460.0,inner0_selection,c0012_23099bed3753,42
Fox_education_Henrietta,observed,1.0,12,720.0,False,3000.0,inner0_selection,c0012_23099bed3753,42
Hog_assembly_Colette,right_censored,0.7368421052631579,5,,True,1260.0,inner0_selection,c0012_23099bed3753,42
Hog_assembly_Dona,observed,0.9830508474576272,9,540.0,False,2220.0,inner0_selection,c0012_23099bed3753,42
Lamb_assembly_Bertie,observed,0.8461538461538461,7,600.0,False,1860.0,inner0_selection,c0012_23099bed3753,42
Lamb_assembly_Cesar,observed,1.0,4,240.0,False,960.0,inner0_selection,c0012_23099bed3753,42
Moose_education_Ricardo,observed,1.0,2,120.0,False,480.0,inner0_selection,c0012_23099bed3753,42
Mouse_health_Estela,observed,1.0,1,60.0,False,300.0,inner0_selection,c0012_23099bed3753,42
Mouse_health_Justin,right_censored,0.6666666666666666,24,,True,8520.0,inner0_selection,c0012_23099bed3753,42
Eagle_assembly_Benny,observed,1.0,5,300.0,False,1200.0,inner0_selection,c0012_23099bed3753,43
Eagle_assembly_Ian,observed,0.8990825688073395,22,1320.0,False,5400.0,inner0_selection,c0012_23099bed3753,43
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6660.0,inner0_selection,c0012_23099bed3753,43
Hog_assembly_Colette,right_censored,0.6896551724137931,22,,True,5400.0,inner0_selection,c0012_23099bed3753,43
Hog_assembly_Dona,observed,1.0,24,2580.0,False,7200.0,inner0_selection,c0012_23099bed3753,43
Lamb_assembly_Bertie,right_censored,0.6792452830188679,19,,True,4740.0,inner0_selection,c0012_23099bed3753,43
Lamb_assembly_Cesar,observed,1.0,1,60.0,False,180.0,inner0_selection,c0012_23099bed3753,43
Moose_education_Ricardo,observed,1.0,15,900.0,False,3780.0,inner0_selection,c0012_23099bed3753,43
Mouse_health_Estela,observed,1.0,5,360.0,False,1320.0,inner0_selection,c0012_23099bed3753,43
Mouse_health_Justin,right_censored,0.5294117647058824,24,,True,6780.0,inner0_selection,c0012_23099bed3753,43
Eagle_assembly_Benny,observed,1.0,2,120.0,False,540.0,inner0_selection,c0012_23099bed3753,44
Eagle_assembly_Ian,right_censored,0.8823529411764706,2,,True,600.0,inner0_selection,c0012_23099bed3753,44
Fox_education_Henrietta,observed,1.0,17,1020.0,False,4140.0,inner0_selection,c0012_23099bed3753,44
Hog_assembly_Colette,observed,0.7934782608695652,9,600.0,False,2220.0,inner0_selection,c0012_23099bed3753,44
Hog_assembly_Dona,observed,1.0,17,1020.0,False,4140.0,inner0_selection,c0012_23099bed3753,44
Lamb_assembly_Bertie,right_censored,0.6862745098039216,24,,True,7140.0,inner0_selection,c0012_23099bed3753,44
Lamb_assembly_Cesar,observed,1.0,13,780.0,False,3120.0,inner0_selection,c0012_23099bed3753,44
Moose_education_Ricardo,observed,1.0,22,1320.0,False,5280.0,inner0_selection,c0012_23099bed3753,44
Mouse_health_Estela,observed,0.9464285714285714,24,1440.0,False,6960.0,inner0_selection,c0012_23099bed3753,44
Mouse_health_Justin,right_censored,0.7567567567567568,14,,True,3420.0,inner0_selection,c0012_23099bed3753,44
Eagle_assembly_Benny,observed,1.0,24,1440.0,False,5880.0,inner0_selection,c0012_23099bed3753,45
Eagle_assembly_Ian,observed,0.8888888888888888,23,1380.0,False,5580.0,inner0_selection,c0012_23099bed3753,45
Fox_education_Henrietta,observed,1.0,3,180.0,False,720.0,inner0_selection,c0012_23099bed3753,45
Hog_assembly_Colette,observed,0.8181818181818182,16,2280.0,False,3900.0,inner0_selection,c0012_23099bed3753,45
Hog_assembly_Dona,observed,1.0,8,480.0,False,1980.0,inner0_selection,c0012_23099bed3753,45
Lamb_assembly_Bertie,right_censored,0.7333333333333333,16,,True,4020.0,inner0_selection,c0012_23099bed3753,45
Lamb_assembly_Cesar,observed,1.0,8,480.0,False,1920.0,inner0_selection,c0012_23099bed3753,45
Moose_education_Ricardo,observed,1.0,5,300.0,False,1260.0,inner0_selection,c0012_23099bed3753,45
Mouse_health_Estela,observed,1.0,20,1260.0,False,4980.0,inner0_selection,c0012_23099bed3753,45
Mouse_health_Justin,right_censored,0.8571428571428571,7,,True,1800.0,inner0_selection,c0012_23099bed3753,45
Eagle_assembly_Benny,observed,1.0,5,300.0,False,1260.0,inner0_selection,c0012_23099bed3753,46
Eagle_assembly_Ian,observed,0.8921568627450981,19,1140.0,False,4680.0,inner0_selection,c0012_23099bed3753,46
Fox_education_Henrietta,observed,1.0,14,840.0,False,3360.0,inner0_selection,c0012_23099bed3753,46
Hog_assembly_Colette,right_censored,0.7321428571428571,24,,True,8580.0,inner0_selection,c0012_23099bed3753,46
Hog_assembly_Dona,observed,0.9807692307692307,3,180.0,False,840.0,inner0_selection,c0012_23099bed3753,46
Lamb_assembly_Bertie,observed,0.7142857142857143,3,180.0,False,720.0,inner0_selection,c0012_23099bed3753,46
Lamb_assembly_Cesar,observed,1.0,3,180.0,False,900.0,inner0_selection,c0012_23099bed3753,46
Moose_education_Ricardo,observed,1.0,2,120.0,False,540.0,inner0_selection,c0012_23099bed3753,46
Mouse_health_Estela,observed,0.9459459459459459,21,1260.0,False,5040.0,inner0_selection,c0012_23099bed3753,46
Mouse_health_Justin,observed,0.8591549295774648,6,360.0,False,1440.0,inner0_selection,c0012_23099bed3753,46
Eagle_assembly_Benny,observed,1.0,2,120.0,False,540.0,inner0_selection,c0013_a21278d4e492,42
Eagle_assembly_Ian,observed,0.875,10,600.0,False,2460.0,inner0_selection,c0013_a21278d4e492,42
Fox_education_Henrietta,observed,1.0,12,720.0,False,3000.0,inner0_selection,c0013_a21278d4e492,42
Hog_assembly_Colette,right_censored,0.7368421052631579,5,,True,1260.0,inner0_selection,c0013_a21278d4e492,42
Hog_assembly_Dona,observed,0.9830508474576272,9,540.0,False,2220.0,inner0_selection,c0013_a21278d4e492,42
Lamb_assembly_Bertie,observed,0.8461538461538461,7,600.0,False,1860.0,inner0_selection,c0013_a21278d4e492,42
Lamb_assembly_Cesar,observed,1.0,4,240.0,False,960.0,inner0_selection,c0013_a21278d4e492,42
Moose_education_Ricardo,observed,1.0,2,120.0,False,480.0,inner0_selection,c0013_a21278d4e492,42
Mouse_health_Estela,observed,1.0,1,60.0,False,300.0,inner0_selection,c0013_a21278d4e492,42
Mouse_health_Justin,right_censored,0.6666666666666666,24,,True,8520.0,inner0_selection,c0013_a21278d4e492,42
Eagle_assembly_Benny,observed,1.0,5,300.0,False,1200.0,inner0_selection,c0013_a21278d4e492,43
Eagle_assembly_Ian,observed,0.8990825688073395,22,1320.0,False,5400.0,inner0_selection,c0013_a21278d4e492,43
Fox_education_Henrietta,observed,1.0,24,1440.0,False,6660.0,inner0_selection,c0013_a21278d4e492,43
Hog_assembly_Colette,right_censored,0.6896551724137931,22,,True,5400.0,inner0_selection,c0013_a21278d4e492,43
Hog_assembly_Dona,observed,1.0,24,2580.0,False,7200.0,inner0_selection,c0013_a21278d4e492,43
Lamb_assembly_Bertie,right_censored,0.6792452830188679,19,,True,4740.0,inner0_selection,c0013_a21278d4e492,43
Lamb_assembly_Cesar,observed,1.0,1,60.0,False,180.0,inner0_selection,c0013_a21278d4e492,43
Moose_education_Ricardo,observed,1.0,15,900.0,False,3780.0,inner0_selection,c0013_a21278d4e492,43
Mouse_health_Estela,observed,1.0,5,360.0,False,1320.0,inner0_selection,c0013_a21278d4e492,43
Mouse_health_Justin,right_censored,0.5294117647058824,24,,True,6780.0,inner0_selection,c0013_a21278d4e492,43
Eagle_assembly_Benny,observed,1.0,2,120.0,False,540.0,inner0_selection,c0013_a21278d4e492,44
Eagle_assembly_Ian,right_censored,0.8823529411764706,2,,True,600.0,inner0_selection,c0013_a21278d4e492,44
Fox_education_Henrietta,observed,1.0,17,1020.0,False,4140.0,inner0_selection,c0013_a21278d4e492,44
Hog_assembly_Colette,observed,0.7934782608695652,9,600.0,False,2220.0,inner0_selection,c0013_a21278d4e492,44
Hog_assembly_Dona,observed,1.0,17,1020.0,False,4140.0,inner0_selection,c0013_a21278d4e492,44
Lamb_assembly_Bertie,right_censored,0.6862745098039216,24,,True,7140.0,inner0_selection,c0013_a21278d4e492,44
Lamb_assembly_Cesar,observed,1.0,13,780.0,False,3120.0,inner0_selection,c0013_a21278d4e492,44
Moose_education_Ricardo,observed,1.0,22,1320.0,False,5280.0,inner0_selection,c0013_a21278d4e492,44
Mouse_health_Estela,observed,0.9464285714285714,24,1440.0,False,6960.0,inner0_selection,c0013_a21278d4e492,44
Mouse_health_Justin,right_censored,0.7567567567567568,14,,True,3420.0,inner0_selection,c0013_a21278d4e492,44
Eagle_assembly_Benny,observed,1.0,24,1440.0,False,5880.0,inner0_selection,c0013_a21278d4e492,45
Eagle_assembly_Ian,observed,0.8888888888888888,23,1380.0,False,5580.0,inner0_selection,c0013_a21278d4e492,45
Fox_education_Henrietta,observed,1.0,3,180.0,False,720.0,inner0_selection,c0013_a21278d4e492,45
Hog_assembly_Colette,observed,0.8181818181818182,16,2280.0,False,3900.0,inner0_selection,c0013_a21278d4e492,45
Hog_assembly_Dona,observed,1.0,8,480.0,False,1980.0,inner0_selection,c0013_a21278d4e492,45
Lamb_assembly_Bertie,right_censored,0.7333333333333333,16,,True,4020.0,inner0_selection,c0013_a21278d4e492,45
Lamb_assembly_Cesar,observed,1.0,8,480.0,False,1920.0,inner0_selection,c0013_a21278d4e492,45
Moose_education_Ricardo,observed,1.0,5,300.0,False,1260.0,inner0_selection,c0013_a21278d4e492,45
Mouse_health_Estela,observed,1.0,20,1260.0,False,4980.0,inner0_selection,c0013_a21278d4e492,45
Mouse_health_Justin,right_censored,0.8571428571428571,7,,True,1800.0,inner0_selection,c0013_a21278d4e492,45
Eagle_assembly_Benny,observed,1.0,5,300.0,False,1260.0,inner0_selection,c0013_a21278d4e492,46
Eagle_assembly_Ian,observed,0.8921568627450981,19,1140.0,False,4680.0,inner0_selection,c0013_a21278d4e492,46
Fox_education_Henrietta,observed,1.0,14,840.0,False,3360.0,inner0_selection,c0013_a21278d4e492,46
Hog_assembly_Colette,right_censored,0.7321428571428571,24,,True,8580.0,inner0_selection,c0013_a21278d4e492,46
Hog_assembly_Dona,observed,0.9807692307692307,3,180.0,False,840.0,inner0_selection,c0013_a21278d4e492,46
Lamb_assembly_Bertie,observed,0.7142857142857143,3,180.0,False,720.0,inner0_selection,c0013_a21278d4e492,46
Lamb_assembly_Cesar,observed,1.0,3,180.0,False,900.0,inner0_selection,c0013_a21278d4e492,46
