role,candidate_id,observed_rows,empirical_coverage,mpiw_kWh,winkler95_kWh,mae_kWh,rmse_kWh,nominal_level,target_units
inner0_selection,c0000_f5146f1247fa,26044,0.8617339886346184,96.29915938098189,247.2158713847582,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0001_ee0570e08213,26044,0.8617339886346184,96.29915938098189,247.2158713847582,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0002_fa76e087b17d,26044,0.8617339886346184,96.29915938098189,247.2158713847582,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0012_23099bed3753,26044,0.9475886960528337,135.18928032615645,224.38144735015868,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0013_a21278d4e492,26044,0.9475886960528337,135.18928032615645,224.38144735015868,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0014_54a0e1ef5720,26044,0.9475886960528337,135.18928032615645,224.38144735015868,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0024_ba16b82adffd,26044,0.9453232990324067,143.29985209942672,184.40861859690526,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0025_63dd1cc1601e,26044,0.9453232990324067,143.29985209942672,184.40861859690526,21.618453332066665,45.91301795309681,0.95,kWh
inner0_selection,c0026_47d9fe7d15ba,26044,0.9453232990324067,143.29985209942672,184.40861859690526,21.618453332066665,45.91301795309681,0.95,kWh
inner1_selection,c0000_f5146f1247fa,26048,0.8812192874692875,89.42339249701885,153.44880442197066,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0001_ee0570e08213,26048,0.8812192874692875,89.42339249701885,153.44880442197066,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0002_fa76e087b17d,26048,0.8812192874692875,89.42339249701885,153.44880442197066,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0012_23099bed3753,26048,0.9536624692874693,99.84998840596386,151.60444716415552,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0013_a21278d4e492,26048,0.9536624692874693,99.84998840596386,151.60444716415552,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0014_54a0e1ef5720,26048,0.9536624692874693,99.84998840596386,151.60444716415552,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0024_ba16b82adffd,26048,0.944909398034398,108.61780214466724,143.0354593762029,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0025_63dd1cc1601e,26048,0.944909398034398,108.61780214466724,143.0354593762029,17.10876540877412,35.25064108124018,0.95,kWh
inner1_selection,c0026_47d9fe7d15ba,26048,0.944909398034398,108.61780214466724,143.0354593762029,17.10876540877412,35.25064108124018,0.95,kWh
outer_test,c0000_f5146f1247fa,34520,0.8353418308227115,85.60363392570326,134.89293312291983,16.035504238443288,32.40473907988675,0.95,kWh
outer_test,c0012_23099bed3753,34520,0.9448725376593279,91.4759796022781,134.08477218698533,16.035504238443288,32.40473907988675,0.95,kWh
outer_test,c0013_a21278d4e492,34520,0.9448725376593279,91.4759796022781,134.08477218698533,16.035504238443288,32.40473907988675,0.95,kWh
outer_test,c0024_ba16b82adffd,34520,0.9545191193511008,97.69208005995176,128.54500076851969,16.035504238443288,32.40473907988675,0.95,kWh
outer_test,diagnostic_persistence_split_095_single_sample,34520,0.945683661645423,152.10599999999982,251.55204322132101,18.88898286790267,37.83169204911971,0.95,kWh
