dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,persistence,0.20260189948555601,0.19163657499010683,0.21546547289275822,0.3253274506378214,0.3061726859823782,0.34763873529010025
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,seasonal_naive,1.4768104471705579,1.3488425009893155,1.6010187475267115,2.1972867032664185,2.0128831024157834,2.373793814430284
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,xgboost,0.34278705738069143,0.3261916677297035,0.36228343986691247,0.5013628122812165,0.47069393938764525,0.5351519715976226
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,attention_lstm,0.8028620711607002,0.7545423999840344,0.8551601226800601,1.0739033997270842,1.0108144632103067,1.1375422904683503
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,persistence,0.3750940035622403,0.3522731545616466,0.40248763111023156,0.6058173361381183,0.5605033866925722,0.6555817396393707
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,seasonal_naive,1.4770631308133784,1.3505909855531368,1.6025242430239461,2.197501865042041,2.0122832138269544,2.3773699824025036
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,xgboost,0.5316771750164202,0.5060298220228492,0.5591239068023572,0.7282952625552968,0.6817412698545595,0.7784020405171009
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,attention_lstm,0.8126456875388702,0.7644698495023114,0.8640626985229835,1.074935177277692,1.0111968091728007,1.140676101568908
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,persistence,0.5457190933386123,0.5100690388993369,0.5897493318816194,0.8723348149066551,0.79872891538953,0.9598097503555942
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,seasonal_naive,1.4774324458081758,1.351908096604969,1.6035019301197664,2.19782337683528,2.003585242190566,2.3753586167193363
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,xgboost,0.6932987235034442,0.6547257152675555,0.7345537181751546,0.9500461027868469,0.8855530344705009,1.0229434087727396
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,attention_lstm,1.0566345066076976,0.997581380343633,1.1260881451683493,1.3689137164227851,1.2922034883487263,1.4521192827924425
