strategy,update_every,window,replay_coverage,replay_coverage_deviation,replay_mean_width
rolling,24,1000.0,0.9400474871388999,0.009952512861100105,1.8192926097563862
rolling,48,1000.0,0.9396517609814009,0.010348239018599048,1.819593494058488
rolling,144,1000.0,0.9394538979026513,0.01054610209734863,1.8190103260604187
rolling,48,500.0,0.9380688563514048,0.011931143648595155,1.824362300880274
rolling,24,500.0,0.9380688563514048,0.011931143648595155,1.82483434854792
rolling,144,500.0,0.9352987732489118,0.014701226751088203,1.8219547511876713
rolling,24,250.0,0.9345073209339138,0.015492679066086201,1.7530228759999873
rolling,48,250.0,0.9333201424614167,0.016679857538583254,1.7518121140371192
rolling,144,250.0,0.9297586070439257,0.0202413929560743,1.7662398630810585
periodic,48,,0.9295607439651761,0.020439256034823883,1.6240190578299825
periodic,24,,0.9295607439651761,0.020439256034823883,1.6244750960208625
periodic,144,,0.9291650178076771,0.020834982192322826,1.6217159751421446
