dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,point_model,applicable,note,mae,rmse,pct_mae_improvement,pct_rmse_improvement,n_seeds,n_test,mae_std,rmse_std,seeds_used
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,persistence,True,,0.20260189948555601,0.3253274506378214,0.0,0.0,1,10108,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,seasonal_naive,True,,1.4768104471705579,2.1972867032664185,-628.9223106597,-575.4077158132593,1,10108,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,xgboost,True,,0.34278705738069143,0.5013628122812165,-69.1924203332208,-54.11020843715111,5,10108,0.006980758020946253,0.005986938812890765,"42,43,44,45,46"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,attention_lstm,True,,0.8028620711607002,1.0739033997270842,-296.27568803615196,-230.09922698550048,3,10108,0.09420383867373587,0.11769080041123098,"42,43,44"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,persistence,True,,0.3750940035622403,0.6058173361381183,0.0,0.0,1,10106,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,seasonal_naive,True,,1.4770631308133784,2.197501865042041,-293.7847890890864,-262.7334072429119,1,10106,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,xgboost,True,,0.5316771750164202,0.7282952625552968,-41.74504789922552,-20.21697285817769,5,10106,0.0,0.0,"42,43,44,45,46"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,attention_lstm,True,,0.8126456875388702,1.074935177277692,-116.65120738301161,-77.43552604982258,3,10106,0.024726191986958367,0.020001767723107224,"42,43,44"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,persistence,True,,0.5457190933386123,0.8723348149066551,0.0,0.0,1,10103,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,seasonal_naive,True,,1.4774324458081758,2.19782337683528,-170.73130917401238,-151.94722705988298,1,10103,,,
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,xgboost,True,,0.6932987235034442,0.9500461027868469,-27.043149482266774,-8.908424443487027,5,10103,0.009686434021683241,0.00589327070542003,"42,43,44,45,46"
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,attention_lstm,True,,1.0566345066076976,1.3689137164227851,-93.62241847603235,-56.925264592273194,3,10103,0.024561176393116172,0.01853166010230847,"42,43,44"
