dataset,target,target_kind,units,sampling_freq,horizon_steps,horizon_minutes,model_a,model_b,n,loss,horizon,mean_loss_a,mean_loss_b,dm_statistic,p_value,mean_loss_differential,better_model,p_value_holm,significant_holm_5pct
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,xgboost,persistence,10108,absolute,1,0.34278705738069143,0.20260189948555601,46.78741574128862,0.0,0.1401851578951354,b,0.0,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,attention_lstm,persistence,10108,absolute,1,0.8028620711607002,0.20260189948555601,84.22688524009081,0.0,0.6002601716751443,b,0.0,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,xgboost,attention_lstm,10108,absolute,1,0.34278705738069143,0.8028620711607002,-68.85568642991983,0.0,-0.46007501378000887,a,0.0,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,1,10.0,seasonal_naive,persistence,10108,absolute,1,1.4768104471705579,0.20260189948555601,79.25016529231561,0.0,1.2742085476850018,b,0.0,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,xgboost,persistence,10106,absolute,3,0.5316771750164202,0.3750940035622403,28.50666882630241,5.487307894711225e-172,0.1565831714541799,b,5.487307894711225e-172,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,attention_lstm,persistence,10106,absolute,3,0.8126456875388702,0.3750940035622403,39.04162533949206,1.1498811774069e-310,0.4375516839766299,b,3.4496435322207e-310,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,xgboost,attention_lstm,10106,absolute,3,0.5316771750164202,0.8126456875388702,-29.265259691930165,8.67543055947468e-181,-0.2809685125224499,a,1.735086111894936e-180,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,3,30.0,seasonal_naive,persistence,10106,absolute,3,1.4770631308133784,0.3750940035622403,40.44334313848052,0.0,1.101969127251138,b,0.0,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,xgboost,persistence,10103,absolute,6,0.6932987235034442,0.5457190933386123,13.822100487770856,4.618676497007003e-43,0.14757963016483203,b,4.618676497007003e-43,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,attention_lstm,persistence,10103,absolute,6,1.0566345066076976,0.5457190933386123,26.610253757317693,7.543397873437837e-151,0.5109154132690853,b,3.017359149375135e-150,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,xgboost,attention_lstm,10103,absolute,6,0.6932987235034442,1.0566345066076976,-20.90917740662756,4.480145830255895e-95,-0.36333578310425324,a,8.96029166051179e-95,True
pleia,B-room11-V2,temperature,degC,0 days 00:10:00,6,60.0,seasonal_naive,persistence,10103,absolute,6,1.4774324458081758,0.5457190933386123,24.557443801552694,2.1330181085300262e-129,0.9317133524695635,b,6.399054325590079e-129,True
