model,role,n,max_absolute_difference,atol,rtol,fits,verified
persistence,calibration,17370,0.0,1e-07,1e-07,0,True
persistence,test,34640,0.0,1e-07,1e-07,0,True
xgboost,calibration,17370,0.0,1e-07,1e-07,0,True
xgboost,test,34640,0.0,1e-07,1e-07,0,True
attention_lstm,calibration,17370,0.0,1e-07,1e-07,0,True
attention_lstm,test,34640,0.0,1e-07,1e-07,0,True
