dataset,passed,completed,models_fitted,calibrators_fitted,replay_updates,scientific_artifacts_unchanged,protocol_sha256
pleia_energy,True,True,0,0,0,True,560400809bf91691fa4d090281332084000c1b67ac1808df3a3cf742dfafe745
rico,True,True,0,0,0,True,3560e892908b9a2fd31f776912dbb3e24739e260560ca917cbb2ce158b542aeb
