family,severity,scheduled,effective,null,original_contexts
bias,0.5,136,136,0,68
bias,1.0,136,136,0,68
bias,2.0,136,136,0,68
block_missing,0.5,136,136,0,68
block_missing,1.0,136,136,0,68
block_missing,2.0,136,136,0,68
drift,0.5,136,136,0,68
drift,1.0,136,136,0,68
drift,2.0,136,136,0,68
dropout,0.5,136,136,0,68
dropout,1.0,136,136,0,68
dropout,2.0,136,136,0,68
level_shift,0.5,136,136,0,68
level_shift,1.0,136,136,0,68
level_shift,2.0,136,136,0,68
random_missing,0.5,136,63,73,68
random_missing,1.0,136,105,31,68
random_missing,2.0,136,126,10,68
stuck,0.5,136,136,0,68
stuck,1.0,136,136,0,68
stuck,2.0,136,136,0,68
