role,n,maximum_prediction_difference,owner_sha256
calibration,4952,0.0,01e20f9ffd285496e02d76c20e0c53c9d316db3376c2d171934823b5102d4d37
test,9907,0.0,01e20f9ffd285496e02d76c20e0c53c9d316db3376c2d171934823b5102d4d37
