dataset,outer_fold,model_seed,horizon,model,n,mae,rmse,learned_fits,deterministic_seed_alias
pleia,2,42,1,seasonal_naive,9907,0.8172201473705462,1.1027526420383493,0,True
pleia,2,42,3,seasonal_naive,9907,0.8172201473705462,1.1027526420383493,0,True
pleia,2,42,6,seasonal_naive,9907,0.8172201473705462,1.1027526420383493,0,True
