dataset,outer_fold,model_seed,horizon,level,method,n,coverage,signed_coverage_deviation,absolute_coverage_deviation,mpiw,winkler,mae,rmse,sum_absolute_error,sum_squared_error,sum_width,sum_winkler,covered_count,available_count,unavailable_count,raw_crossed,status
pleia,2,42,1,0.9,seasonal_naive,9907,0.9635611184011306,0.06356111840113055,0.06356111840113055,5.0,5.465933178560614,0.8172201473705462,1.1027526420383493,8096.200000000001,12047.54,49535.0,54151.0,9546,9907,0,0,complete
pleia,2,42,1,0.95,seasonal_naive,9907,0.9834460482487131,0.03344604824871311,0.03344604824871311,6.0,6.3734733017058645,0.8172201473705462,1.1027526420383493,8096.200000000001,12047.54,59442.0,63142.0,9743,9907,0,0,complete
pleia,2,42,3,0.9,seasonal_naive,9907,0.9635611184011306,0.06356111840113055,0.06356111840113055,5.0,5.465933178560614,0.8172201473705462,1.1027526420383493,8096.200000000001,12047.54,49535.0,54151.0,9546,9907,0,0,complete
pleia,2,42,3,0.95,seasonal_naive,9907,0.9834460482487131,0.03344604824871311,0.03344604824871311,6.0,6.3734733017058645,0.8172201473705462,1.1027526420383493,8096.200000000001,12047.54,59442.0,63142.0,9743,9907,0,0,complete
pleia,2,42,6,0.9,seasonal_naive,9907,0.9635611184011306,0.06356111840113055,0.06356111840113055,5.0,5.465933178560614,0.8172201473705462,1.1027526420383493,8096.200000000001,12047.54,49535.0,54151.0,9546,9907,0,0,complete
pleia,2,42,6,0.95,seasonal_naive,9907,0.9834460482487131,0.03344604824871311,0.03344604824871311,6.0,6.3734733017058645,0.8172201473705462,1.1027526420383493,8096.200000000001,12047.54,59442.0,63142.0,9743,9907,0,0,complete
