stage,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds,process_cpu_seconds
dscp_assignment_000000_000064,0.23954159999266267,513343488,513482752,598155264,598503424,139264,1246937088,2263097344,0.05,0.21875
dscp_assignment_000064_000576,1.7492583999992348,513462272,513490944,598454272,598503424,28672,1246937088,2272530432,0.05,1.71875
dscp_assignment_000576_001088,1.843654600001173,513470464,513490944,598454272,598503424,20480,1246937088,2282070016,0.05,1.796875
dscp_assignment_001088_001600,1.8258475000038743,513470464,513490944,598454272,598503424,20480,1246937088,2280361984,0.05,1.703125
dscp_assignment_001600_002112,1.816434799999115,513470464,513490944,598454272,598503424,20480,1246937088,2278068224,0.05,1.78125
dscp_assignment_002112_002624,1.8936900999979116,513470464,513490944,598454272,598503424,20480,1246937088,2269069312,0.05,1.859375
dscp_assignment_002624_003136,1.8693134000059217,513470464,513490944,598454272,598503424,20480,1246937088,2234073088,0.05,1.796875
dscp_assignment_003136_003648,1.8868986000015866,513470464,513490944,598454272,598503424,20480,1246937088,2249449472,0.05,1.875
dscp_assignment_003648_004160,1.938782799988985,513470464,513490944,598454272,598503424,20480,1246937088,2254929920,0.05,1.890625
dscp_assignment_004160_004672,1.8170438000088325,513470464,513490944,598454272,598503424,20480,1246937088,2274983936,0.05,1.765625
dscp_assignment_004672_005184,2.000943000006373,513470464,513490944,598454272,598503424,20480,1246937088,2261626880,0.05,1.921875
dscp_assignment_005184_005696,1.911102199999732,513470464,513490944,598454272,598503424,20480,1246937088,2233290752,0.05,1.859375
dscp_assignment_005696_006208,1.8508255999913672,513470464,513490944,598454272,598503424,20480,1246937088,2223632384,0.05,1.78125
dscp_assignment_006208_006720,1.772698799992213,513470464,513490944,598454272,598503424,20480,1246937088,2236088320,0.05,1.71875
dscp_assignment_006720_007232,1.9071251000132179,513470464,513490944,598454272,598503424,20480,1246937088,2247213056,0.05,1.84375
dscp_assignment_007232_007744,1.7507847999950172,513470464,513490944,598454272,598503424,20480,1246937088,2200199168,0.05,1.703125
dscp_assignment_007744_008256,1.9643145999871194,513470464,513699840,598454272,598544384,229376,1246937088,2199851008,0.05,1.890625
dscp_assignment_008256_008768,1.9454903000005288,513679360,513699840,598495232,598544384,20480,1246937088,2169581568,0.05,1.875
dscp_assignment_008768_009280,1.9115237000078196,513679360,513699840,598495232,598544384,20480,1246937088,2171506688,0.05,1.84375
dscp_assignment_009280_009792,1.7921300000016345,513679360,513699840,598495232,598544384,20480,1246937088,2160340992,0.05,1.765625
dscp_assignment_009792_009902,0.3934614000027068,513679360,513699840,598495232,598544384,20480,1246937088,2183163904,0.05,0.390625
dscp_fit,0.652915499988012,512847872,545660928,564494336,662290432,32813056,1246937088,2243698688,0.05,0.59375
dscp_joint,4.856698200004757,501403648,638459904,553725952,693043200,137056256,1246937088,2153402368,0.05,4.75
historical_h1,2.2756499999959487,406212608,526258176,362704896,561311744,120045568,1246937088,2490134528,0.05,2.25
historical_h3,1.9585236999992048,525807616,539013120,577540096,605007872,13205504,1246937088,2296107008,0.05,1.921875
historical_h6,1.8677947999967728,530202624,543096832,581939200,609398784,12894208,1246937088,2216603648,0.05,1.8125
owner_cal_h1_cqr_l90,0.5384699999995064,517500928,519417856,536801280,538959872,1916928,1246937088,2400509952,0.05,0.5
owner_cal_h1_cqr_l95,0.6984280000033323,522514432,523673600,542248960,543449088,1159168,1246937088,1951666176,0.05,0.703125
owner_cal_h1_enbpi,0.7659972999972524,523390976,527101952,541634560,545378304,3710976,1246937088,2119655424,0.05,0.75
owner_cal_h3_cqr_l90,0.5834850999963237,525873152,527024128,577613824,578813952,1150976,1246937088,2359975936,0.05,0.53125
owner_cal_h3_cqr_l95,0.56261789999553,527945728,529104896,579678208,580878336,1159168,1246937088,2155380736,0.05,0.53125
owner_cal_h3_enbpi,0.6894611000025179,527622144,531341312,579346432,583094272,3719168,1246937088,2297950208,0.05,0.671875
owner_cal_h6_cqr_l90,0.6055464000091888,530284544,531431424,582004736,583204864,1146880,1246937088,2255450112,0.05,0.578125
owner_cal_h6_cqr_l95,0.6111207000067225,530079744,531234816,581795840,582995968,1155072,1246937088,2422194176,0.05,0.578125
owner_cal_h6_enbpi,0.6890407999890158,527945728,531664896,579661824,583413760,3719168,1246937088,2403688448,0.05,0.671875
owner_fit_h1_cqr_l90,9.83381979999831,519450624,527945728,539648000,547328000,8495104,1246937088,2401091584,0.05,9.421875
owner_fit_h1_cqr_l95,10.770027200007462,525357056,531947520,545107968,551723008,6590464,1246937088,1974513664,0.05,10.421875
owner_fit_h1_enbpi,1.6167304000118747,525111296,534552576,544063488,552869888,9441280,1246937088,2106585088,0.05,1.5625
owner_fit_h3_cqr_l90,10.016198099998292,528723968,535306240,580476928,587091968,6582272,1246937088,2312511488,0.05,9.828125
owner_fit_h3_cqr_l95,10.191357099989546,530808832,537382912,582541312,589156352,6574080,1246937088,2155642880,0.05,9.875
owner_fit_h3_enbpi,1.5388347999978578,532238336,540606464,583970816,592375808,8368128,1246937088,2299904000,0.05,1.46875
owner_fit_h6_cqr_l90,10.767049100002623,533110784,539713536,584867840,591482880,6602752,1246937088,2193813504,0.05,10.421875
owner_fit_h6_cqr_l95,10.642016099998727,532914176,539508736,584658944,591273984,6594560,1246937088,2222919680,0.05,10.328125
owner_fit_h6_enbpi,1.531801599994651,532881408,541253632,584605696,593018880,8372224,1246937088,2380427264,0.05,1.515625
preparation_h1,0.0008624999900348485,406204416,406220800,362704896,362737664,16384,1246937088,2595528704,0.05,0.0
preparation_h3,0.0005589000065810978,525807616,525824000,577540096,577572864,16384,1246937088,2308116480,0.05,0.0
preparation_h6,0.0009664999961387366,530202624,530219008,581939200,581971968,16384,1246937088,2226970624,0.05,0.0
raw_h1_cqr_l90,4.19531989999814,517533696,521998336,536801280,541298688,4464640,1246937088,2407383040,0.05,3.96875
raw_h1_cqr_l95,4.565364499998395,522502144,531394560,542248960,551194624,8892416,1246937088,1933103104,0.05,4.5
raw_h1_enbpi,2.407771000012872,523390976,548667392,541634560,600489984,25276416,1246937088,2129879040,0.05,2.328125
raw_h3_cqr_l90,4.4794223999924725,525856768,534757376,577613824,586563584,8900608,1246937088,2338082816,0.05,4.1875
raw_h3_cqr_l95,4.720125499996357,527933440,536829952,579678208,588627968,8896512,1246937088,2074836992,0.05,4.59375
raw_h3_enbpi,2.185931800006074,527626240,552775680,579346432,604577792,25149440,1246937088,2252259328,0.05,2.171875
raw_h6_cqr_l90,4.656770500005223,530259968,532582400,582004736,584359936,2322432,1246937088,2222714880,0.05,4.53125
raw_h6_cqr_l95,4.416258699988248,530063360,538955776,581795840,590745600,8892416,1246937088,2410246144,0.05,4.359375
raw_h6_enbpi,2.171910899996874,527945728,553086976,579661824,604884992,25141248,1246937088,2362408960,0.05,2.140625
seasonal_h1,0.5781893999956083,516501504,516603904,536788992,536838144,102400,1246937088,2430652416,0.05,0.5625
seasonal_h3,0.5494816999998875,525864960,525889536,577613824,577662976,24576,1246937088,2342645760,0.05,0.546875
seasonal_h6,0.5429398999986006,530255872,531546112,582004736,583323648,1290240,1246937088,2201796608,0.05,0.546875
stream_h1_l90_cqr,4.42250069999136,522006528,527835136,541782016,547614720,5828608,1246937088,2059550720,0.05,4.25
stream_h1_l90_dscp,2.4363258999946993,515428352,527003648,600363008,611672064,11575296,1246937088,2166054912,0.05,2.34375
stream_h1_l90_quantile_uncalibrated,3.7571721999993315,517550080,523608064,536801280,543428608,6057984,1246937088,2364907520,0.05,3.59375
stream_h1_l90_recentred_enbpi_static,3.629480700008571,523513856,525619200,575258624,577372160,2105344,1246937088,2206150656,0.05,3.4375
stream_h1_l90_recentred_enbpi_updated,11.742082799988566,524390400,531611648,576110592,583745536,7221248,1246937088,2184105984,0.05,11.25
stream_h1_l95_cqr,3.5005302999925334,523100160,525037568,542109696,544067584,1937408,1246937088,2153316352,0.05,3.25
stream_h1_l95_dscp,2.423006400000304,524693504,524713984,609316864,609366016,20480,1246937088,2131189760,0.05,2.328125
stream_h1_l95_quantile_uncalibrated,3.400265700009186,523227136,525160448,542248960,544206848,1933312,1246937088,2156220416,0.05,3.328125
stream_h1_l95_recentred_enbpi_static,3.2571924999938346,525873152,532357120,577904640,584372224,6483968,1246937088,2236977152,0.05,3.03125
stream_h1_l95_recentred_enbpi_updated,10.803431499996805,527675392,534175744,579653632,586215424,6500352,1246937088,2236194816,0.05,10.421875
stream_h3_l90_cqr,3.3689630000008037,527945728,529879040,579678208,581636096,1933312,1246937088,2321346560,0.05,3.203125
stream_h3_l90_dscp,2.427137799997581,524681216,524705792,609316864,609366016,24576,1246937088,2176143360,0.05,2.328125
stream_h3_l90_quantile_uncalibrated,3.4301451000064844,525869056,527966208,577613824,579727360,2097152,1246937088,2297180160,0.05,3.3125
stream_h3_l90_recentred_enbpi_static,3.0497420000028796,526315520,531795968,578039808,583557120,5480448,1246937088,2261762048,0.05,2.9375
stream_h3_l90_recentred_enbpi_updated,10.791370799997821,528220160,532459520,579944448,584245248,4239360,1246937088,2239737856,0.05,10.484375
stream_h3_l95_cqr,3.2008171000052243,529346560,531308544,581107712,583065600,1961984,1246937088,2197311488,0.05,3.1875
stream_h3_l95_dscp,2.3677546000108123,523026432,524718080,607649792,612835328,1691648,1246937088,2154127360,0.05,2.3125
stream_h3_l95_quantile_uncalibrated,3.4596853999973973,527933440,532922368,579678208,584720384,4988928,1246937088,2187784192,0.05,3.375
stream_h3_l95_recentred_enbpi_static,3.2404368999996223,526807040,528748544,578539520,580497408,1941504,1246937088,2309967872,0.05,3.078125
stream_h3_l95_recentred_enbpi_updated,10.458973100001458,527679488,532504576,579395584,584282112,4825088,1246937088,2310561792,0.05,10.171875
stream_h6_l90_cqr,3.2380242999934126,530915328,532840448,582639616,584597504,1925120,1246937088,2206347264,0.05,3.109375
stream_h6_l90_dscp,2.3494208000047365,523018240,528175104,607649792,612835328,5156864,1246937088,2177224704,0.05,2.203125
stream_h6_l90_quantile_uncalibrated,3.132078399998136,530272256,532955136,582004736,584708096,2682880,1246937088,2241175552,0.05,3.03125
stream_h6_l90_recentred_enbpi_static,3.2611627000005683,527941632,530980864,579661824,582729728,3039232,1246937088,2331168768,0.05,3.203125
stream_h6_l90_recentred_enbpi_updated,11.113337100003264,530960384,533381120,582680576,588304384,2420736,1246937088,2292293632,0.05,10.859375
stream_h6_l95_cqr,2.9556379999994533,530632704,534872064,582377472,586625024,4239360,1246937088,2391732224,0.05,2.921875
stream_h6_l95_dscp,2.5897693000006257,524693504,528175104,609316864,612835328,3481600,1246937088,2179584000,0.05,2.453125
stream_h6_l95_quantile_uncalibrated,3.0587320999911753,528744448,530681856,580472832,582430720,1937408,1246937088,2411606016,0.05,3.0625
stream_h6_l95_recentred_enbpi_static,2.9450182000000495,529412096,534257664,581128192,586010624,4845568,1246937088,2292117504,0.05,2.921875
stream_h6_l95_recentred_enbpi_updated,10.959606899996288,529399808,533340160,581115904,588279808,3940352,1246937088,2250780672,0.05,10.515625
