outer_fold,role,phase,runs,raw_rows,start,end,ever_legacy_final_fit,ever_legacy_final_calibration
0,final_fit,1.0,83,19920,2023-07-26 15:01:00,2023-08-12 11:00:00,83,0
0,final_fit,3.0,6,1440,2024-01-22 13:30:00,2024-01-26 01:29:00,6,0
0,final_fit,4.0,34,8160,2024-01-29 15:01:00,2024-02-04 11:00:00,34,0
0,final_calibration,4.0,24,5760,2024-02-04 11:01:00,2024-02-08 11:00:00,24,0
0,final_calibration,5.0,17,4080,2024-05-08 07:01:00,2024-05-11 03:00:00,7,11
0,inner0_selection,1.0,22,5280,2023-08-07 23:01:00,2023-08-12 11:00:00,22,0
0,inner0_selection,3.0,6,1440,2024-01-22 13:30:00,2024-01-26 01:29:00,6,0
0,inner0_selection,4.0,3,720,2024-01-29 15:01:00,2024-01-30 03:00:00,3,0
0,inner1_selection,4.0,31,7440,2024-01-30 03:01:00,2024-02-04 11:00:00,31,0
0,outer_test,5.0,43,10320,2024-05-11 03:01:00,2024-05-18 07:00:00,0,42
1,final_fit,1.0,83,19920,2023-07-26 15:01:00,2023-08-12 11:00:00,83,0
1,final_fit,3.0,6,1440,2024-01-22 13:30:00,2024-01-26 01:29:00,6,0
1,final_fit,4.0,3,720,2024-01-29 15:01:00,2024-01-30 03:00:00,3,0
1,final_calibration,4.0,31,7440,2024-01-30 03:01:00,2024-02-04 11:00:00,31,0
1,inner0_selection,1.0,23,5520,2023-08-05 03:01:00,2023-08-09 07:00:00,23,0
1,inner1_selection,1.0,14,3360,2023-08-09 07:01:00,2023-08-12 11:00:00,14,0
1,inner1_selection,3.0,6,1440,2024-01-22 13:30:00,2024-01-26 01:29:00,6,0
1,inner1_selection,4.0,3,720,2024-01-29 15:01:00,2024-01-30 03:00:00,3,0
1,outer_test,4.0,24,5760,2024-02-04 11:01:00,2024-02-08 11:00:00,24,0
1,outer_test,5.0,17,4080,2024-05-08 07:01:00,2024-05-11 03:00:00,7,11
2,final_fit,1.0,61,14640,2023-07-26 15:01:00,2023-08-07 23:00:00,61,0
2,final_calibration,1.0,21,5040,2023-08-07 23:01:00,2023-08-12 03:00:00,21,0
2,inner0_selection,1.0,15,3600,2023-08-02 03:01:00,2023-08-04 23:00:00,15,0
2,inner1_selection,1.0,16,3840,2023-08-04 23:01:00,2023-08-07 23:00:00,16,0
2,outer_test,1.0,1,240,2023-08-12 07:01:00,2023-08-12 11:00:00,1,0
2,outer_test,3.0,6,1440,2024-01-22 13:30:00,2024-01-26 01:29:00,6,0
2,outer_test,4.0,34,8160,2024-01-29 15:01:00,2024-02-04 11:00:00,34,0
