dataset,outer_fold,role,family,severity,variant_rows,unique_context_realisations,alias_rows
pleia,0,inner0_selection,bias,0.5,102,102,0
pleia,0,inner0_selection,bias,1.0,102,102,0
pleia,0,inner0_selection,bias,2.0,102,102,0
pleia,0,inner0_selection,block_missing,0.5,102,51,51
pleia,0,inner0_selection,block_missing,1.0,102,51,51
pleia,0,inner0_selection,block_missing,2.0,102,51,51
pleia,0,inner0_selection,drift,0.5,102,102,0
pleia,0,inner0_selection,drift,1.0,102,102,0
pleia,0,inner0_selection,drift,2.0,102,102,0
pleia,0,inner0_selection,dropout,0.5,102,51,51
pleia,0,inner0_selection,dropout,1.0,102,51,51
pleia,0,inner0_selection,dropout,2.0,102,51,51
pleia,0,inner0_selection,level_shift,0.5,102,102,0
pleia,0,inner0_selection,level_shift,1.0,102,102,0
pleia,0,inner0_selection,level_shift,2.0,102,102,0
pleia,0,inner0_selection,random_missing,0.5,102,84,18
pleia,0,inner0_selection,random_missing,1.0,102,97,5
pleia,0,inner0_selection,random_missing,2.0,102,100,2
pleia,0,inner0_selection,stuck,0.5,102,51,51
pleia,0,inner0_selection,stuck,1.0,102,51,51
pleia,0,inner0_selection,stuck,2.0,102,51,51
pleia,0,inner1_selection,bias,0.5,102,102,0
pleia,0,inner1_selection,bias,1.0,102,102,0
pleia,0,inner1_selection,bias,2.0,102,102,0
pleia,0,inner1_selection,block_missing,0.5,102,51,51
pleia,0,inner1_selection,block_missing,1.0,102,51,51
pleia,0,inner1_selection,block_missing,2.0,102,51,51
pleia,0,inner1_selection,drift,0.5,102,102,0
pleia,0,inner1_selection,drift,1.0,102,102,0
pleia,0,inner1_selection,drift,2.0,102,102,0
pleia,0,inner1_selection,dropout,0.5,102,51,51
pleia,0,inner1_selection,dropout,1.0,102,51,51
pleia,0,inner1_selection,dropout,2.0,102,51,51
pleia,0,inner1_selection,level_shift,0.5,102,102,0
pleia,0,inner1_selection,level_shift,1.0,102,102,0
pleia,0,inner1_selection,level_shift,2.0,102,102,0
pleia,0,inner1_selection,random_missing,0.5,102,79,23
pleia,0,inner1_selection,random_missing,1.0,102,96,6
pleia,0,inner1_selection,random_missing,2.0,102,101,1
pleia,0,inner1_selection,stuck,0.5,102,51,51
pleia,0,inner1_selection,stuck,1.0,102,51,51
pleia,0,inner1_selection,stuck,2.0,102,51,51
pleia,0,outer_test,bias,0.5,136,136,0
pleia,0,outer_test,bias,1.0,136,136,0
pleia,0,outer_test,bias,2.0,136,136,0
