dataset,outer_fold,role,family,severity,variant_rows,unique_context_realisations,alias_rows
pleia,0,outer_test,block_missing,0.5,136,68,68
pleia,0,outer_test,block_missing,1.0,136,68,68
pleia,0,outer_test,block_missing,2.0,136,68,68
pleia,0,outer_test,drift,0.5,136,136,0
pleia,0,outer_test,drift,1.0,136,136,0
pleia,0,outer_test,drift,2.0,136,136,0
pleia,0,outer_test,dropout,0.5,136,68,68
pleia,0,outer_test,dropout,1.0,136,68,68
pleia,0,outer_test,dropout,2.0,136,68,68
pleia,0,outer_test,level_shift,0.5,136,136,0
pleia,0,outer_test,level_shift,1.0,136,136,0
pleia,0,outer_test,level_shift,2.0,136,136,0
pleia,0,outer_test,random_missing,0.5,136,115,21
pleia,0,outer_test,random_missing,1.0,136,132,4
pleia,0,outer_test,random_missing,2.0,136,136,0
pleia,0,outer_test,stuck,0.5,136,68,68
pleia,0,outer_test,stuck,1.0,136,68,68
pleia,0,outer_test,stuck,2.0,136,68,68
pleia,1,inner0_selection,bias,0.5,76,76,0
pleia,1,inner0_selection,bias,1.0,76,76,0
pleia,1,inner0_selection,bias,2.0,76,76,0
pleia,1,inner0_selection,block_missing,0.5,76,38,38
pleia,1,inner0_selection,block_missing,1.0,76,38,38
pleia,1,inner0_selection,block_missing,2.0,76,38,38
pleia,1,inner0_selection,drift,0.5,76,76,0
pleia,1,inner0_selection,drift,1.0,76,76,0
pleia,1,inner0_selection,drift,2.0,76,76,0
pleia,1,inner0_selection,dropout,0.5,76,38,38
pleia,1,inner0_selection,dropout,1.0,76,38,38
pleia,1,inner0_selection,dropout,2.0,76,38,38
pleia,1,inner0_selection,level_shift,0.5,76,76,0
pleia,1,inner0_selection,level_shift,1.0,76,76,0
pleia,1,inner0_selection,level_shift,2.0,76,76,0
pleia,1,inner0_selection,random_missing,0.5,76,60,16
pleia,1,inner0_selection,random_missing,1.0,76,73,3
pleia,1,inner0_selection,random_missing,2.0,76,75,1
pleia,1,inner0_selection,stuck,0.5,76,38,38
pleia,1,inner0_selection,stuck,1.0,76,38,38
pleia,1,inner0_selection,stuck,2.0,76,38,38
pleia,1,inner1_selection,bias,0.5,76,76,0
pleia,1,inner1_selection,bias,1.0,76,76,0
pleia,1,inner1_selection,bias,2.0,76,76,0
pleia,1,inner1_selection,block_missing,0.5,76,38,38
pleia,1,inner1_selection,block_missing,1.0,76,38,38
pleia,1,inner1_selection,block_missing,2.0,76,38,38
pleia,1,inner1_selection,drift,0.5,76,76,0
pleia,1,inner1_selection,drift,1.0,76,76,0
pleia,1,inner1_selection,drift,2.0,76,76,0
pleia,1,inner1_selection,dropout,0.5,76,38,38
pleia,1,inner1_selection,dropout,1.0,76,38,38
pleia,1,inner1_selection,dropout,2.0,76,38,38
pleia,1,inner1_selection,level_shift,0.5,76,76,0
pleia,1,inner1_selection,level_shift,1.0,76,76,0
pleia,1,inner1_selection,level_shift,2.0,76,76,0
pleia,1,inner1_selection,random_missing,0.5,76,67,9
pleia,1,inner1_selection,random_missing,1.0,76,72,4
pleia,1,inner1_selection,random_missing,2.0,76,76,0
pleia,1,inner1_selection,stuck,0.5,76,38,38
pleia,1,inner1_selection,stuck,1.0,76,38,38
pleia,1,inner1_selection,stuck,2.0,76,38,38
pleia,1,outer_test,bias,0.5,136,136,0
pleia,1,outer_test,bias,1.0,136,136,0
pleia,1,outer_test,bias,2.0,136,136,0
pleia,1,outer_test,block_missing,0.5,136,68,68
pleia,1,outer_test,block_missing,1.0,136,68,68
pleia,1,outer_test,block_missing,2.0,136,68,68
pleia,1,outer_test,drift,0.5,136,136,0
pleia,1,outer_test,drift,1.0,136,136,0
pleia,1,outer_test,drift,2.0,136,136,0
pleia,1,outer_test,dropout,0.5,136,68,68
pleia,1,outer_test,dropout,1.0,136,68,68
pleia,1,outer_test,dropout,2.0,136,68,68
pleia,1,outer_test,level_shift,0.5,136,136,0
pleia,1,outer_test,level_shift,1.0,136,136,0
pleia,1,outer_test,level_shift,2.0,136,136,0
pleia,1,outer_test,random_missing,0.5,136,117,19
pleia,1,outer_test,random_missing,1.0,136,129,7
pleia,1,outer_test,random_missing,2.0,136,136,0
pleia,1,outer_test,stuck,0.5,136,68,68
pleia,1,outer_test,stuck,1.0,136,68,68
pleia,1,outer_test,stuck,2.0,136,68,68
pleia,2,inner0_selection,bias,0.5,50,50,0
pleia,2,inner0_selection,bias,1.0,50,50,0
pleia,2,inner0_selection,bias,2.0,50,50,0
pleia,2,inner0_selection,block_missing,0.5,50,25,25
pleia,2,inner0_selection,block_missing,1.0,50,25,25
pleia,2,inner0_selection,block_missing,2.0,50,25,25
pleia,2,inner0_selection,drift,0.5,50,50,0
pleia,2,inner0_selection,drift,1.0,50,50,0
pleia,2,inner0_selection,drift,2.0,50,50,0
pleia,2,inner0_selection,dropout,0.5,50,25,25
pleia,2,inner0_selection,dropout,1.0,50,25,25
pleia,2,inner0_selection,dropout,2.0,50,25,25
pleia,2,inner0_selection,level_shift,0.5,50,50,0
pleia,2,inner0_selection,level_shift,1.0,50,50,0
pleia,2,inner0_selection,level_shift,2.0,50,50,0
pleia,2,inner0_selection,random_missing,0.5,50,41,9
pleia,2,inner0_selection,random_missing,1.0,50,49,1
pleia,2,inner0_selection,random_missing,2.0,50,50,0
pleia,2,inner0_selection,stuck,0.5,50,25,25
pleia,2,inner0_selection,stuck,1.0,50,25,25
pleia,2,inner0_selection,stuck,2.0,50,25,25
pleia,2,inner1_selection,bias,0.5,50,50,0
pleia,2,inner1_selection,bias,1.0,50,50,0
pleia,2,inner1_selection,bias,2.0,50,50,0
pleia,2,inner1_selection,block_missing,0.5,50,25,25
pleia,2,inner1_selection,block_missing,1.0,50,25,25
pleia,2,inner1_selection,block_missing,2.0,50,25,25
pleia,2,inner1_selection,drift,0.5,50,50,0
pleia,2,inner1_selection,drift,1.0,50,50,0
pleia,2,inner1_selection,drift,2.0,50,50,0
pleia,2,inner1_selection,dropout,0.5,50,25,25
pleia,2,inner1_selection,dropout,1.0,50,25,25
pleia,2,inner1_selection,dropout,2.0,50,25,25
pleia,2,inner1_selection,level_shift,0.5,50,50,0
pleia,2,inner1_selection,level_shift,1.0,50,50,0
pleia,2,inner1_selection,level_shift,2.0,50,50,0
pleia,2,inner1_selection,random_missing,0.5,50,44,6
pleia,2,inner1_selection,random_missing,1.0,50,48,2
pleia,2,inner1_selection,random_missing,2.0,50,50,0
pleia,2,inner1_selection,stuck,0.5,50,25,25
pleia,2,inner1_selection,stuck,1.0,50,25,25
pleia,2,inner1_selection,stuck,2.0,50,25,25
pleia,2,outer_test,bias,0.5,136,136,0
pleia,2,outer_test,bias,1.0,136,136,0
pleia,2,outer_test,bias,2.0,136,136,0
pleia,2,outer_test,block_missing,0.5,136,68,68
pleia,2,outer_test,block_missing,1.0,136,68,68
pleia,2,outer_test,block_missing,2.0,136,68,68
pleia,2,outer_test,drift,0.5,136,136,0
pleia,2,outer_test,drift,1.0,136,136,0
pleia,2,outer_test,drift,2.0,136,136,0
pleia,2,outer_test,dropout,0.5,136,68,68
pleia,2,outer_test,dropout,1.0,136,68,68
pleia,2,outer_test,dropout,2.0,136,68,68
pleia,2,outer_test,level_shift,0.5,136,136,0
pleia,2,outer_test,level_shift,1.0,136,136,0
pleia,2,outer_test,level_shift,2.0,136,136,0
pleia,2,outer_test,random_missing,0.5,136,114,22
pleia,2,outer_test,random_missing,1.0,136,130,6
pleia,2,outer_test,random_missing,2.0,136,135,1
pleia,2,outer_test,stuck,0.5,136,68,68
pleia,2,outer_test,stuck,1.0,136,68,68
pleia,2,outer_test,stuck,2.0,136,68,68
pleia_energy,0,inner0_selection,bias,0.5,102,102,0
pleia_energy,0,inner0_selection,bias,1.0,102,102,0
pleia_energy,0,inner0_selection,bias,2.0,102,102,0
pleia_energy,0,inner0_selection,block_missing,0.5,102,51,51
pleia_energy,0,inner0_selection,block_missing,1.0,102,51,51
pleia_energy,0,inner0_selection,block_missing,2.0,102,51,51
pleia_energy,0,inner0_selection,drift,0.5,102,102,0
pleia_energy,0,inner0_selection,drift,1.0,102,102,0
pleia_energy,0,inner0_selection,drift,2.0,102,102,0
pleia_energy,0,inner0_selection,dropout,0.5,102,51,51
pleia_energy,0,inner0_selection,dropout,1.0,102,51,51
pleia_energy,0,inner0_selection,dropout,2.0,102,51,51
pleia_energy,0,inner0_selection,level_shift,0.5,102,102,0
pleia_energy,0,inner0_selection,level_shift,1.0,102,102,0
pleia_energy,0,inner0_selection,level_shift,2.0,102,102,0
pleia_energy,0,inner0_selection,random_missing,0.5,102,80,22
pleia_energy,0,inner0_selection,random_missing,1.0,102,95,7
pleia_energy,0,inner0_selection,random_missing,2.0,102,100,2
pleia_energy,0,inner0_selection,stuck,0.5,102,51,51
pleia_energy,0,inner0_selection,stuck,1.0,102,51,51
pleia_energy,0,inner0_selection,stuck,2.0,102,51,51
pleia_energy,0,inner1_selection,bias,0.5,102,102,0
pleia_energy,0,inner1_selection,bias,1.0,102,102,0
pleia_energy,0,inner1_selection,bias,2.0,102,102,0
pleia_energy,0,inner1_selection,block_missing,0.5,102,51,51
pleia_energy,0,inner1_selection,block_missing,1.0,102,51,51
pleia_energy,0,inner1_selection,block_missing,2.0,102,51,51
pleia_energy,0,inner1_selection,drift,0.5,102,102,0
pleia_energy,0,inner1_selection,drift,1.0,102,102,0
pleia_energy,0,inner1_selection,drift,2.0,102,102,0
pleia_energy,0,inner1_selection,dropout,0.5,102,51,51
pleia_energy,0,inner1_selection,dropout,1.0,102,51,51
pleia_energy,0,inner1_selection,dropout,2.0,102,51,51
pleia_energy,0,inner1_selection,level_shift,0.5,102,102,0
pleia_energy,0,inner1_selection,level_shift,1.0,102,102,0
pleia_energy,0,inner1_selection,level_shift,2.0,102,102,0
pleia_energy,0,inner1_selection,random_missing,0.5,102,85,17
pleia_energy,0,inner1_selection,random_missing,1.0,102,97,5
pleia_energy,0,inner1_selection,random_missing,2.0,102,100,2
pleia_energy,0,inner1_selection,stuck,0.5,102,51,51
pleia_energy,0,inner1_selection,stuck,1.0,102,51,51
pleia_energy,0,inner1_selection,stuck,2.0,102,51,51
pleia_energy,0,outer_test,bias,0.5,136,136,0
pleia_energy,0,outer_test,bias,1.0,136,136,0
pleia_energy,0,outer_test,bias,2.0,136,136,0
pleia_energy,0,outer_test,block_missing,0.5,136,68,68
pleia_energy,0,outer_test,block_missing,1.0,136,68,68
pleia_energy,0,outer_test,block_missing,2.0,136,68,68
pleia_energy,0,outer_test,drift,0.5,136,136,0
pleia_energy,0,outer_test,drift,1.0,136,136,0
pleia_energy,0,outer_test,drift,2.0,136,136,0
pleia_energy,0,outer_test,dropout,0.5,136,68,68
pleia_energy,0,outer_test,dropout,1.0,136,68,68
pleia_energy,0,outer_test,dropout,2.0,136,68,68
pleia_energy,0,outer_test,level_shift,0.5,136,136,0
pleia_energy,0,outer_test,level_shift,1.0,136,136,0
pleia_energy,0,outer_test,level_shift,2.0,136,136,0
pleia_energy,0,outer_test,random_missing,0.5,136,113,23
pleia_energy,0,outer_test,random_missing,1.0,136,133,3
pleia_energy,0,outer_test,random_missing,2.0,136,135,1
pleia_energy,0,outer_test,stuck,0.5,136,68,68
pleia_energy,0,outer_test,stuck,1.0,136,68,68
pleia_energy,0,outer_test,stuck,2.0,136,68,68
pleia_energy,1,inner0_selection,bias,0.5,76,76,0
pleia_energy,1,inner0_selection,bias,1.0,76,76,0
pleia_energy,1,inner0_selection,bias,2.0,76,76,0
pleia_energy,1,inner0_selection,block_missing,0.5,76,38,38
pleia_energy,1,inner0_selection,block_missing,1.0,76,38,38
pleia_energy,1,inner0_selection,block_missing,2.0,76,38,38
pleia_energy,1,inner0_selection,drift,0.5,76,76,0
pleia_energy,1,inner0_selection,drift,1.0,76,76,0
pleia_energy,1,inner0_selection,drift,2.0,76,76,0
pleia_energy,1,inner0_selection,dropout,0.5,76,38,38
pleia_energy,1,inner0_selection,dropout,1.0,76,38,38
pleia_energy,1,inner0_selection,dropout,2.0,76,38,38
pleia_energy,1,inner0_selection,level_shift,0.5,76,76,0
pleia_energy,1,inner0_selection,level_shift,1.0,76,76,0
pleia_energy,1,inner0_selection,level_shift,2.0,76,76,0
pleia_energy,1,inner0_selection,random_missing,0.5,76,61,15
pleia_energy,1,inner0_selection,random_missing,1.0,76,74,2
pleia_energy,1,inner0_selection,random_missing,2.0,76,75,1
pleia_energy,1,inner0_selection,stuck,0.5,76,38,38
pleia_energy,1,inner0_selection,stuck,1.0,76,38,38
pleia_energy,1,inner0_selection,stuck,2.0,76,38,38
pleia_energy,1,inner1_selection,bias,0.5,76,76,0
pleia_energy,1,inner1_selection,bias,1.0,76,76,0
pleia_energy,1,inner1_selection,bias,2.0,76,76,0
pleia_energy,1,inner1_selection,block_missing,0.5,76,38,38
pleia_energy,1,inner1_selection,block_missing,1.0,76,38,38
pleia_energy,1,inner1_selection,block_missing,2.0,76,38,38
pleia_energy,1,inner1_selection,drift,0.5,76,76,0
pleia_energy,1,inner1_selection,drift,1.0,76,76,0
pleia_energy,1,inner1_selection,drift,2.0,76,76,0
pleia_energy,1,inner1_selection,dropout,0.5,76,38,38
pleia_energy,1,inner1_selection,dropout,1.0,76,38,38
pleia_energy,1,inner1_selection,dropout,2.0,76,38,38
pleia_energy,1,inner1_selection,level_shift,0.5,76,76,0
pleia_energy,1,inner1_selection,level_shift,1.0,76,76,0
pleia_energy,1,inner1_selection,level_shift,2.0,76,76,0
pleia_energy,1,inner1_selection,random_missing,0.5,76,65,11
pleia_energy,1,inner1_selection,random_missing,1.0,76,74,2
pleia_energy,1,inner1_selection,random_missing,2.0,76,75,1
pleia_energy,1,inner1_selection,stuck,0.5,76,38,38
pleia_energy,1,inner1_selection,stuck,1.0,76,38,38
pleia_energy,1,inner1_selection,stuck,2.0,76,38,38
pleia_energy,1,outer_test,bias,0.5,136,136,0
pleia_energy,1,outer_test,bias,1.0,136,136,0
pleia_energy,1,outer_test,bias,2.0,136,136,0
pleia_energy,1,outer_test,block_missing,0.5,136,68,68
pleia_energy,1,outer_test,block_missing,1.0,136,68,68
pleia_energy,1,outer_test,block_missing,2.0,136,68,68
pleia_energy,1,outer_test,drift,0.5,136,136,0
pleia_energy,1,outer_test,drift,1.0,136,136,0
pleia_energy,1,outer_test,drift,2.0,136,136,0
pleia_energy,1,outer_test,dropout,0.5,136,68,68
pleia_energy,1,outer_test,dropout,1.0,136,68,68
pleia_energy,1,outer_test,dropout,2.0,136,68,68
pleia_energy,1,outer_test,level_shift,0.5,136,136,0
pleia_energy,1,outer_test,level_shift,1.0,136,136,0
pleia_energy,1,outer_test,level_shift,2.0,136,136,0
pleia_energy,1,outer_test,random_missing,0.5,136,107,29
pleia_energy,1,outer_test,random_missing,1.0,136,131,5
pleia_energy,1,outer_test,random_missing,2.0,136,135,1
pleia_energy,1,outer_test,stuck,0.5,136,68,68
pleia_energy,1,outer_test,stuck,1.0,136,68,68
pleia_energy,1,outer_test,stuck,2.0,136,68,68
pleia_energy,2,inner0_selection,bias,0.5,50,50,0
pleia_energy,2,inner0_selection,bias,1.0,50,50,0
pleia_energy,2,inner0_selection,bias,2.0,50,50,0
pleia_energy,2,inner0_selection,block_missing,0.5,50,25,25
pleia_energy,2,inner0_selection,block_missing,1.0,50,25,25
pleia_energy,2,inner0_selection,block_missing,2.0,50,25,25
pleia_energy,2,inner0_selection,drift,0.5,50,50,0
pleia_energy,2,inner0_selection,drift,1.0,50,50,0
pleia_energy,2,inner0_selection,drift,2.0,50,50,0
pleia_energy,2,inner0_selection,dropout,0.5,50,25,25
pleia_energy,2,inner0_selection,dropout,1.0,50,25,25
pleia_energy,2,inner0_selection,dropout,2.0,50,25,25
pleia_energy,2,inner0_selection,level_shift,0.5,50,50,0
pleia_energy,2,inner0_selection,level_shift,1.0,50,50,0
pleia_energy,2,inner0_selection,level_shift,2.0,50,50,0
pleia_energy,2,inner0_selection,random_missing,0.5,50,43,7
pleia_energy,2,inner0_selection,random_missing,1.0,50,45,5
pleia_energy,2,inner0_selection,random_missing,2.0,50,50,0
pleia_energy,2,inner0_selection,stuck,0.5,50,25,25
pleia_energy,2,inner0_selection,stuck,1.0,50,25,25
pleia_energy,2,inner0_selection,stuck,2.0,50,25,25
pleia_energy,2,inner1_selection,bias,0.5,50,50,0
pleia_energy,2,inner1_selection,bias,1.0,50,50,0
pleia_energy,2,inner1_selection,bias,2.0,50,50,0
pleia_energy,2,inner1_selection,block_missing,0.5,50,25,25
pleia_energy,2,inner1_selection,block_missing,1.0,50,25,25
pleia_energy,2,inner1_selection,block_missing,2.0,50,25,25
pleia_energy,2,inner1_selection,drift,0.5,50,50,0
pleia_energy,2,inner1_selection,drift,1.0,50,50,0
pleia_energy,2,inner1_selection,drift,2.0,50,50,0
pleia_energy,2,inner1_selection,dropout,0.5,50,25,25
pleia_energy,2,inner1_selection,dropout,1.0,50,25,25
pleia_energy,2,inner1_selection,dropout,2.0,50,25,25
pleia_energy,2,inner1_selection,level_shift,0.5,50,50,0
pleia_energy,2,inner1_selection,level_shift,1.0,50,50,0
pleia_energy,2,inner1_selection,level_shift,2.0,50,50,0
pleia_energy,2,inner1_selection,random_missing,0.5,50,45,5
pleia_energy,2,inner1_selection,random_missing,1.0,50,50,0
pleia_energy,2,inner1_selection,random_missing,2.0,50,49,1
pleia_energy,2,inner1_selection,stuck,0.5,50,25,25
pleia_energy,2,inner1_selection,stuck,1.0,50,25,25
pleia_energy,2,inner1_selection,stuck,2.0,50,25,25
pleia_energy,2,outer_test,bias,0.5,136,136,0
pleia_energy,2,outer_test,bias,1.0,136,136,0
pleia_energy,2,outer_test,bias,2.0,136,136,0
pleia_energy,2,outer_test,block_missing,0.5,136,68,68
pleia_energy,2,outer_test,block_missing,1.0,136,68,68
pleia_energy,2,outer_test,block_missing,2.0,136,68,68
pleia_energy,2,outer_test,drift,0.5,136,136,0
pleia_energy,2,outer_test,drift,1.0,136,136,0
pleia_energy,2,outer_test,drift,2.0,136,136,0
pleia_energy,2,outer_test,dropout,0.5,136,68,68
pleia_energy,2,outer_test,dropout,1.0,136,68,68
pleia_energy,2,outer_test,dropout,2.0,136,68,68
pleia_energy,2,outer_test,level_shift,0.5,136,136,0
pleia_energy,2,outer_test,level_shift,1.0,136,136,0
pleia_energy,2,outer_test,level_shift,2.0,136,136,0
pleia_energy,2,outer_test,random_missing,0.5,136,118,18
pleia_energy,2,outer_test,random_missing,1.0,136,130,6
pleia_energy,2,outer_test,random_missing,2.0,136,136,0
pleia_energy,2,outer_test,stuck,0.5,136,68,68
pleia_energy,2,outer_test,stuck,1.0,136,68,68
pleia_energy,2,outer_test,stuck,2.0,136,68,68
rico,0,inner0_selection,bias,0.5,62,62,0
rico,0,inner0_selection,bias,1.0,62,62,0
rico,0,inner0_selection,bias,2.0,62,62,0
rico,0,inner0_selection,block_missing,0.5,62,31,31
rico,0,inner0_selection,block_missing,1.0,62,31,31
rico,0,inner0_selection,block_missing,2.0,62,31,31
rico,0,inner0_selection,drift,0.5,62,62,0
rico,0,inner0_selection,drift,1.0,62,62,0
rico,0,inner0_selection,drift,2.0,62,62,0
rico,0,inner0_selection,dropout,0.5,62,31,31
rico,0,inner0_selection,dropout,1.0,62,31,31
rico,0,inner0_selection,dropout,2.0,62,31,31
rico,0,inner0_selection,level_shift,0.5,62,62,0
rico,0,inner0_selection,level_shift,1.0,62,62,0
rico,0,inner0_selection,level_shift,2.0,62,62,0
rico,0,inner0_selection,random_missing,0.5,62,62,0
rico,0,inner0_selection,random_missing,1.0,62,62,0
rico,0,inner0_selection,random_missing,2.0,62,62,0
rico,0,inner0_selection,stuck,0.5,62,31,31
rico,0,inner0_selection,stuck,1.0,62,31,31
rico,0,inner0_selection,stuck,2.0,62,31,31
rico,0,inner1_selection,bias,0.5,62,62,0
rico,0,inner1_selection,bias,1.0,62,62,0
rico,0,inner1_selection,bias,2.0,62,62,0
rico,0,inner1_selection,block_missing,0.5,62,31,31
rico,0,inner1_selection,block_missing,1.0,62,31,31
rico,0,inner1_selection,block_missing,2.0,62,31,31
rico,0,inner1_selection,drift,0.5,62,62,0
rico,0,inner1_selection,drift,1.0,62,62,0
rico,0,inner1_selection,drift,2.0,62,62,0
rico,0,inner1_selection,dropout,0.5,62,31,31
rico,0,inner1_selection,dropout,1.0,62,31,31
rico,0,inner1_selection,dropout,2.0,62,31,31
rico,0,inner1_selection,level_shift,0.5,62,62,0
rico,0,inner1_selection,level_shift,1.0,62,62,0
rico,0,inner1_selection,level_shift,2.0,62,62,0
rico,0,inner1_selection,random_missing,0.5,62,62,0
rico,0,inner1_selection,random_missing,1.0,62,62,0
rico,0,inner1_selection,random_missing,2.0,62,62,0
rico,0,inner1_selection,stuck,0.5,62,31,31
rico,0,inner1_selection,stuck,1.0,62,31,31
rico,0,inner1_selection,stuck,2.0,62,31,31
rico,0,outer_test,bias,0.5,86,86,0
rico,0,outer_test,bias,1.0,86,86,0
rico,0,outer_test,bias,2.0,86,86,0
rico,0,outer_test,block_missing,0.5,86,43,43
rico,0,outer_test,block_missing,1.0,86,43,43
rico,0,outer_test,block_missing,2.0,86,43,43
rico,0,outer_test,drift,0.5,86,86,0
rico,0,outer_test,drift,1.0,86,86,0
rico,0,outer_test,drift,2.0,86,86,0
rico,0,outer_test,dropout,0.5,86,43,43
rico,0,outer_test,dropout,1.0,86,43,43
rico,0,outer_test,dropout,2.0,86,43,43
rico,0,outer_test,level_shift,0.5,86,86,0
rico,0,outer_test,level_shift,1.0,86,86,0
rico,0,outer_test,level_shift,2.0,86,86,0
rico,0,outer_test,random_missing,0.5,86,86,0
rico,0,outer_test,random_missing,1.0,86,86,0
rico,0,outer_test,random_missing,2.0,86,86,0
rico,0,outer_test,stuck,0.5,86,43,43
rico,0,outer_test,stuck,1.0,86,43,43
rico,0,outer_test,stuck,2.0,86,43,43
rico,1,inner0_selection,bias,0.5,46,46,0
rico,1,inner0_selection,bias,1.0,46,46,0
rico,1,inner0_selection,bias,2.0,46,46,0
rico,1,inner0_selection,block_missing,0.5,46,23,23
rico,1,inner0_selection,block_missing,1.0,46,23,23
rico,1,inner0_selection,block_missing,2.0,46,23,23
rico,1,inner0_selection,drift,0.5,46,46,0
rico,1,inner0_selection,drift,1.0,46,46,0
rico,1,inner0_selection,drift,2.0,46,46,0
rico,1,inner0_selection,dropout,0.5,46,23,23
rico,1,inner0_selection,dropout,1.0,46,23,23
rico,1,inner0_selection,dropout,2.0,46,23,23
rico,1,inner0_selection,level_shift,0.5,46,46,0
rico,1,inner0_selection,level_shift,1.0,46,46,0
rico,1,inner0_selection,level_shift,2.0,46,46,0
rico,1,inner0_selection,random_missing,0.5,46,46,0
rico,1,inner0_selection,random_missing,1.0,46,46,0
rico,1,inner0_selection,random_missing,2.0,46,46,0
rico,1,inner0_selection,stuck,0.5,46,23,23
rico,1,inner0_selection,stuck,1.0,46,23,23
rico,1,inner0_selection,stuck,2.0,46,23,23
rico,1,inner1_selection,bias,0.5,46,46,0
rico,1,inner1_selection,bias,1.0,46,46,0
rico,1,inner1_selection,bias,2.0,46,46,0
rico,1,inner1_selection,block_missing,0.5,46,23,23
rico,1,inner1_selection,block_missing,1.0,46,23,23
rico,1,inner1_selection,block_missing,2.0,46,23,23
rico,1,inner1_selection,drift,0.5,46,46,0
rico,1,inner1_selection,drift,1.0,46,46,0
rico,1,inner1_selection,drift,2.0,46,46,0
rico,1,inner1_selection,dropout,0.5,46,23,23
rico,1,inner1_selection,dropout,1.0,46,23,23
rico,1,inner1_selection,dropout,2.0,46,23,23
rico,1,inner1_selection,level_shift,0.5,46,46,0
rico,1,inner1_selection,level_shift,1.0,46,46,0
rico,1,inner1_selection,level_shift,2.0,46,46,0
rico,1,inner1_selection,random_missing,0.5,46,46,0
rico,1,inner1_selection,random_missing,1.0,46,46,0
rico,1,inner1_selection,random_missing,2.0,46,46,0
rico,1,inner1_selection,stuck,0.5,46,23,23
rico,1,inner1_selection,stuck,1.0,46,23,23
rico,1,inner1_selection,stuck,2.0,46,23,23
rico,1,outer_test,bias,0.5,82,82,0
rico,1,outer_test,bias,1.0,82,82,0
rico,1,outer_test,bias,2.0,82,82,0
rico,1,outer_test,block_missing,0.5,82,41,41
rico,1,outer_test,block_missing,1.0,82,41,41
rico,1,outer_test,block_missing,2.0,82,41,41
rico,1,outer_test,drift,0.5,82,82,0
rico,1,outer_test,drift,1.0,82,82,0
rico,1,outer_test,drift,2.0,82,82,0
rico,1,outer_test,dropout,0.5,82,41,41
rico,1,outer_test,dropout,1.0,82,41,41
rico,1,outer_test,dropout,2.0,82,41,41
rico,1,outer_test,level_shift,0.5,82,82,0
rico,1,outer_test,level_shift,1.0,82,82,0
rico,1,outer_test,level_shift,2.0,82,82,0
rico,1,outer_test,random_missing,0.5,82,82,0
rico,1,outer_test,random_missing,1.0,82,82,0
rico,1,outer_test,random_missing,2.0,82,82,0
rico,1,outer_test,stuck,0.5,82,41,41
rico,1,outer_test,stuck,1.0,82,41,41
rico,1,outer_test,stuck,2.0,82,41,41
rico,2,inner0_selection,bias,0.5,30,30,0
rico,2,inner0_selection,bias,1.0,30,30,0
rico,2,inner0_selection,bias,2.0,30,30,0
rico,2,inner0_selection,block_missing,0.5,30,15,15
rico,2,inner0_selection,block_missing,1.0,30,15,15
