part,bytes,sha256,members,uncompressed_bytes
core.zip,23675968,ad6c44997e13ea6a401b4d176d88cf0937c1899d9d4c72908eb464fe86f123ff,85,48088900
contexts_01_08.zip,64032791,5753fb1ca76e2601d9ca34a11f87370d40a8622415b30a543acd6064fc544c98,15057,61840511
contexts_09_16.zip,63429165,d2a44a4b3bef074d50126c462d301368fc3f3d68a9fb54b61353e156abdbb59f,15057,61237866
contexts_17_24.zip,64063284,424a6c7449828b16e79c481efaf883486837f04179181cffb66ae40974d3bd26,15057,61873111
contexts_25_32.zip,63610759,26727674c399d3f120ebbeaf97fc75c5ce45674be61ab2d474f2104fec9e63c8,15002,61422683
contexts_33_40.zip,63602785,5367047ab2e788c64da4f2e4b0512dc4612bbdebab4b9301bb6c88e416c72015,15222,61388499
contexts_41_48.zip,62077384,904fc41482eb557c3819b9009425b65a842390c3fc80e4b98306f0857e2b7980,14672,59940850
contexts_49_56.zip,64204611,476276336d63aa37eda265f39637f6a21560f8fac11ba8d8a628a35b1be198e2,15002,62018222
contexts_57_64.zip,62836425,47335f03e2651bf4755503a121ad4d2d02789fe62bbc3e8f1b0333fc1f6a1905,14947,60660883
contexts_65_68.zip,31647133,75eab78de14b71784b07a96f1e4c3713bb4064068f8d968842dac86fc4f00d81,7611,30541441
