model,mae,rmse,n,negative_predictions,verified
persistence,42.80348447459585,78.69880137930757,34640,0,True
xgboost,26.969410939511018,52.10842213185799,34640,10,True
attention_lstm,32.89965335330461,65.89405515011768,34640,189,True
