model,nominal_level,n_calibration,n_evaluation,rank,q,coverage,mpiw,winkler,negative_lower_bounds,verified
persistence,0.9,17360,34640,15625,125.0,0.8978348729792148,250.0,402.0599384526559,13003,True
persistence,0.95,17360,34640,16493,172.1,0.9459872979214781,344.19999999999993,504.7519927251731,14127,True
xgboost,0.9,17360,34640,15625,73.39495849609375,0.9063510392609699,146.7899169921875,265.0726901300109,11702,True
xgboost,0.95,17360,34640,16493,103.78117773437498,0.9483833718244804,207.56235546874996,359.41451336994464,12547,True
attention_lstm,0.9,17360,34640,15625,82.55626855468745,0.9053117782909931,165.11253710937487,314.6459218817097,12095,True
attention_lstm,0.95,17360,34640,16493,118.72116394042968,0.9493937644341801,237.44232788085947,435.6803436862865,13019,True
