model,mae,rmse,n,negative_predictions,verified
persistence,42.80348447459585,78.69880137930757,34640,0,True
xgboost,28.57570213110938,54.13507443126881,34640,69,True
attention_lstm,33.44762582413813,65.5270102532562,34640,141,True
